"No","Ch1","Ch2","Ch3","Ch4"
21713,0.488,0.146,0.156,0.21
21714,0.084,0.522,0.076,0.318
21715,0.358,0.064,0.274,0.304
21716,0.128,0.158,0.394,0.32
21717,0.196,0.056,0.372,0.376
21718,0.316,0.388,0.094,0.202
21719,0.176,0.14,0.182,0.502
21720,0.378,0.206,0.108,0.308
21721,0.108,0.184,0.512,0.196
21722,0.452,0.196,0.164,0.188
21723,0.152,0.24,0.128,0.48
21724,0.344,0.184,0.26,0.212
21725,0.09,0.284,0.226,0.4
21726,0.068,0.328,0.31,0.294
21727,0.22,0.116,0.46,0.204
21728,0.116,0.142,0.374,0.368
21729,0.212,0.202,0.11,0.476
21730,0.312,0.126,0.246,0.316
21731,0.218,0.242,0.364,0.176
21732,0.286,0.18,0.074,0.46
21733,0.34,0.36,0.106,0.194
21734,0.11,0.436,0.308,0.146
21735,0.216,0.302,0.098,0.384
21736,0.574,0.192,0.092,0.142
21737,0.276,0.198,0.394,0.132
21738,0.246,0.26,0.352,0.142
21739,0.2,0.434,0.266,0.1
21740,0.138,0.428,0.318,0.116
21741,0.128,0.392,0.264,0.216
21742,0.172,0.27,0.364,0.194
21743,0.416,0.234,0.14,0.21
21744,0.238,0.294,0.348,0.12
21745,0.272,0.154,0.362,0.212
21746,0.268,0.336,0.136,0.26
21747,0.344,0.42,0.102,0.134
21748,0.3,0.27,0.288,0.142
21749,0.128,0.3,0.196,0.376
21750,0.112,0.14,0.53,0.218
21751,0.286,0.126,0.332,0.256
21752,0.398,0.164,0.16,0.278
21753,0.3,0.18,0.206,0.314
21754,0.13,0.346,0.176,0.348
21755,0.138,0.206,0.314,0.342
21756,0.092,0.462,0.23,0.216
21757,0.178,0.482,0.058,0.282
21758,0.2,0.37,0.106,0.324
21759,0.33,0.302,0.19,0.178
21760,0.244,0.04,0.318,0.398
21761,0.062,0.132,0.446,0.36
21762,0.056,0.79,0.048,0.106
21763,0.438,0.1,0.066,0.396
21764,0.416,0.058,0.408,0.118
21765,0.5,0.058,0.154,0.288
21766,0.1,0.59,0.066,0.244
21767,0.076,0.224,0.404,0.296
21768,0.088,0.608,0.214,0.09
21769,0.166,0.352,0.112,0.37
21770,0.09,0.428,0.312,0.17
21771,0.07,0.198,0.35,0.382
21772,0.112,0.44,0.15,0.298
21773,0.428,0.238,0.192,0.142
21774,0.06,0.266,0.334,0.34
21775,0.286,0.296,0.158,0.26
21776,0.39,0.26,0.144,0.206
21777,0.086,0.074,0.44,0.4
21778,0.25,0.098,0.138,0.514
21779,0.464,0.17,0.104,0.262
21780,0.136,0.124,0.464,0.276
21781,0.084,0.116,0.59,0.21
21782,0.454,0.076,0.348,0.122
21783,0.308,0.144,0.11,0.438
21784,0.628,0.17,0.094,0.108
21785,0.112,0.62,0.182,0.086
21786,0.148,0.114,0.226,0.512
21787,0.14,0.654,0.09,0.116
21788,0.456,0.182,0.08,0.282
21789,0.12,0.23,0.152,0.498
21790,0.53,0.102,0.11,0.258
21791,0.25,0.174,0.11,0.466
21792,0.108,0.224,0.418,0.25
21793,0.168,0.162,0.558,0.112
21794,0.092,0.386,0.268,0.254
21795,0.324,0.062,0.44,0.174
21796,0.212,0.224,0.294,0.27
21797,0.378,0.386,0.09,0.146
21798,0.396,0.088,0.28,0.236
21799,0.164,0.102,0.18,0.554
21800,0.084,0.088,0.282,0.546
21801,0.092,0.282,0.268,0.358
21802,0.102,0.136,0.472,0.29
21803,0.102,0.114,0.434,0.35
21804,0.31,0.474,0.1,0.116
21805,0.426,0.11,0.112,0.352
21806,0.104,0.41,0.154,0.332
21807,0.12,0.336,0.176,0.368
21808,0.266,0.102,0.138,0.494
21809,0.586,0.102,0.112,0.2
21810,0.65,0.09,0.136,0.124
21811,0.236,0.512,0.18,0.072
21812,0.138,0.118,0.354,0.39
21813,0.256,0.376,0.178,0.19
21814,0.204,0.438,0.218,0.14
21815,0.392,0.108,0.33,0.17
21816,0.258,0.352,0.218,0.172
21817,0.308,0.136,0.392,0.164
21818,0.174,0.19,0.296,0.34
21819,0.212,0.202,0.194,0.392
21820,0.604,0.14,0.1,0.156
21821,0.12,0.166,0.46,0.254
21822,0.274,0.44,0.164,0.122
21823,0.172,0.382,0.26,0.186
21824,0.092,0.498,0.278,0.132
21825,0.106,0.45,0.134,0.31
21826,0.146,0.544,0.236,0.074
21827,0.086,0.146,0.628,0.14
21828,0.13,0.458,0.206,0.206
21829,0.216,0.27,0.394,0.12
21830,0.196,0.216,0.378,0.21
21831,0.238,0.272,0.196,0.294
21832,0.184,0.44,0.128,0.248
21833,0.402,0.136,0.318,0.144
21834,0.444,0.16,0.234,0.162
21835,0.124,0.406,0.172,0.298
21836,0.094,0.16,0.45,0.296
21837,0.156,0.148,0.324,0.372
21838,0.142,0.27,0.414,0.174
21839,0.146,0.382,0.202,0.27
21840,0.316,0.312,0.186,0.186
21841,0.292,0.204,0.286,0.218
21842,0.1,0.316,0.404,0.18
21843,0.336,0.14,0.292,0.232
21844,0.092,0.38,0.314,0.214
21845,0.206,0.154,0.308,0.332
21846,0.126,0.486,0.172,0.216
21847,0.464,0.148,0.178,0.21
21848,0.238,0.14,0.148,0.474
21849,0.346,0.344,0.106,0.204
21850,0.364,0.256,0.11,0.27
21851,0.142,0.632,0.082,0.144
21852,0.536,0.166,0.1,0.198
21853,0.098,0.266,0.42,0.216
21854,0.444,0.124,0.146,0.286
21855,0.12,0.236,0.164,0.48
21856,0.538,0.104,0.272,0.086
21857,0.104,0.26,0.186,0.45
21858,0.6,0.126,0.064,0.21
21859,0.536,0.08,0.112,0.272
21860,0.364,0.272,0.09,0.274
21861,0.128,0.168,0.574,0.13
21862,0.072,0.652,0.116,0.16
21863,0.092,0.428,0.186,0.294
21864,0.248,0.42,0.086,0.246
21865,0.118,0.36,0.3,0.222
21866,0.172,0.082,0.536,0.21
21867,0.096,0.102,0.204,0.598
21868,0.108,0.076,0.294,0.522
21869,0.222,0.12,0.24,0.418
21870,0.172,0.156,0.254,0.418
21871,0.586,0.106,0.102,0.206
21872,0.08,0.552,0.146,0.222
21873,0.402,0.36,0.172,0.066
21874,0.076,0.7,0.088,0.136
21875,0.348,0.21,0.086,0.356
21876,0.594,0.112,0.14,0.154
21877,0.096,0.308,0.064,0.532
21878,0.252,0.624,0.056,0.068
21879,0.178,0.204,0.098,0.52
21880,0.532,0.158,0.144,0.166
21881,0.09,0.168,0.138,0.604
21882,0.168,0.112,0.158,0.562
21883,0.094,0.236,0.166,0.504
21884,0.134,0.41,0.062,0.394
21885,0.104,0.312,0.08,0.504
21886,0.184,0.144,0.136,0.536
21887,0.1,0.08,0.34,0.48
21888,0.088,0.15,0.508,0.254
21889,0.182,0.206,0.274,0.338
21890,0.274,0.128,0.19,0.408
21891,0.366,0.13,0.338,0.166
21892,0.14,0.348,0.146,0.366
21893,0.168,0.38,0.118,0.334
21894,0.128,0.12,0.346,0.406
21895,0.08,0.106,0.638,0.176
21896,0.426,0.164,0.26,0.15
21897,0.12,0.492,0.248,0.14
21898,0.138,0.304,0.232,0.326
21899,0.162,0.166,0.554,0.118
21900,0.162,0.124,0.14,0.574
21901,0.176,0.558,0.1,0.166
21902,0.102,0.202,0.518,0.178
21903,0.118,0.14,0.53,0.212
21904,0.218,0.1,0.29,0.392
21905,0.128,0.322,0.248,0.302
21906,0.146,0.232,0.136,0.486
21907,0.142,0.25,0.162,0.446
21908,0.408,0.1,0.144,0.348
21909,0.182,0.186,0.262,0.37
21910,0.3,0.23,0.21,0.26
21911,0.142,0.522,0.196,0.14
21912,0.194,0.462,0.092,0.252
21913,0.196,0.292,0.216,0.296
21914,0.122,0.11,0.296,0.472
21915,0.288,0.266,0.236,0.21
21916,0.174,0.082,0.296,0.448
21917,0.17,0.188,0.18,0.462
21918,0.132,0.092,0.602,0.174
21919,0.226,0.124,0.512,0.138
21920,0.208,0.298,0.128,0.366
21921,0.104,0.6,0.096,0.2
21922,0.31,0.33,0.106,0.254
21923,0.134,0.092,0.23,0.544
21924,0.186,0.118,0.346,0.35
21925,0.358,0.276,0.17,0.196
21926,0.32,0.168,0.114,0.398
21927,0.11,0.132,0.496,0.262
21928,0.09,0.548,0.098,0.264
21929,0.118,0.084,0.172,0.626
21930,0.084,0.224,0.166,0.526
21931,0.116,0.164,0.102,0.618
21932,0.108,0.084,0.296,0.512
21933,0.088,0.378,0.082,0.452
21934,0.104,0.336,0.082,0.478
21935,0.162,0.176,0.156,0.506
21936,0.152,0.184,0.08,0.584
21937,0.098,0.126,0.542,0.234
21938,0.088,0.346,0.118,0.448
21939,0.102,0.218,0.098,0.582
21940,0.398,0.17,0.112,0.32
21941,0.104,0.092,0.228,0.576
21942,0.096,0.592,0.1,0.212
21943,0.08,0.294,0.094,0.532
21944,0.076,0.464,0.242,0.218
21945,0.122,0.244,0.1,0.534
21946,0.332,0.186,0.148,0.334
21947,0.492,0.202,0.114,0.192
21948,0.108,0.634,0.136,0.122
21949,0.194,0.26,0.12,0.426
21950,0.086,0.436,0.11,0.368
21951,0.12,0.272,0.244,0.364
21952,0.308,0.13,0.15,0.412
21953,0.38,0.208,0.108,0.304
21954,0.202,0.128,0.188,0.482
21955,0.374,0.144,0.22,0.262
21956,0.136,0.19,0.156,0.518
21957,0.272,0.156,0.266,0.306
21958,0.112,0.598,0.148,0.142
21959,0.152,0.138,0.134,0.576
21960,0.144,0.502,0.094,0.26
21961,0.222,0.106,0.364,0.308
21962,0.504,0.15,0.164,0.182
21963,0.094,0.56,0.214,0.132
21964,0.14,0.114,0.598,0.148
21965,0.09,0.112,0.24,0.558
21966,0.13,0.082,0.282,0.506
21967,0.404,0.108,0.29,0.198
21968,0.25,0.244,0.09,0.416
21969,0.118,0.16,0.13,0.592
21970,0.226,0.202,0.12,0.452
21971,0.11,0.298,0.5,0.092
21972,0.238,0.136,0.096,0.53
21973,0.422,0.132,0.094,0.352
21974,0.576,0.146,0.082,0.196
21975,0.098,0.144,0.248,0.51
21976,0.326,0.238,0.328,0.108
21977,0.112,0.284,0.222,0.382
21978,0.282,0.072,0.16,0.486
21979,0.174,0.21,0.068,0.548
21980,0.086,0.472,0.084,0.358
21981,0.102,0.308,0.15,0.44
21982,0.134,0.166,0.164,0.536
21983,0.096,0.094,0.288,0.522
21984,0.228,0.112,0.16,0.5
21985,0.086,0.624,0.05,0.24
21986,0.106,0.138,0.662,0.094
21987,0.104,0.276,0.124,0.496
21988,0.248,0.296,0.222,0.234
21989,0.124,0.296,0.096,0.484
21990,0.068,0.302,0.22,0.41
21991,0.25,0.212,0.094,0.444
21992,0.122,0.172,0.172,0.534
21993,0.086,0.346,0.078,0.49
21994,0.032,0.304,0.598,0.066
21995,0.078,0.188,0.192,0.542
21996,0.238,0.316,0.052,0.394
21997,0.214,0.078,0.184,0.524
21998,0.376,0.156,0.092,0.376
21999,0.054,0.68,0.146,0.12
22000,0.716,0.052,0.144,0.088
22001,0.148,0.482,0.296,0.074
22002,0.11,0.364,0.062,0.464
22003,0.1,0.24,0.5,0.16
22004,0.402,0.308,0.096,0.194
22005,0.376,0.072,0.2,0.352
22006,0.076,0.28,0.184,0.46
22007,0.24,0.454,0.092,0.214
22008,0.084,0.316,0.38,0.22
22009,0.348,0.282,0.136,0.234
22010,0.112,0.456,0.128,0.304
22011,0.084,0.352,0.266,0.298
22012,0.204,0.356,0.164,0.276
22013,0.224,0.306,0.314,0.156
22014,0.094,0.12,0.634,0.152
22015,0.114,0.164,0.316,0.406
22016,0.106,0.316,0.288,0.29
22017,0.062,0.494,0.32,0.124
22018,0.132,0.25,0.286,0.332
22019,0.204,0.106,0.422,0.268
22020,0.136,0.164,0.486,0.214
22021,0.216,0.166,0.228,0.39
22022,0.324,0.224,0.122,0.33
22023,0.184,0.208,0.33,0.278
22024,0.216,0.134,0.214,0.436
22025,0.31,0.224,0.158,0.308
22026,0.57,0.1,0.132,0.198
22027,0.354,0.128,0.192,0.326
22028,0.346,0.164,0.184,0.306
22029,0.116,0.21,0.172,0.502
22030,0.288,0.13,0.404,0.178
22031,0.214,0.158,0.158,0.47
22032,0.158,0.234,0.196,0.412
22033,0.286,0.136,0.392,0.186
22034,0.568,0.126,0.094,0.212
22035,0.312,0.158,0.118,0.412
22036,0.466,0.138,0.16,0.236
22037,0.2,0.204,0.078,0.518
22038,0.156,0.266,0.116,0.462
22039,0.462,0.22,0.082,0.236
22040,0.202,0.368,0.196,0.234
22041,0.162,0.068,0.584,0.186
22042,0.226,0.128,0.416,0.23
22043,0.268,0.374,0.206,0.152
22044,0.254,0.12,0.282,0.344
22045,0.098,0.46,0.248,0.194
22046,0.292,0.18,0.272,0.256
22047,0.148,0.312,0.364,0.176
22048,0.102,0.626,0.202,0.07
22049,0.084,0.51,0.168,0.238
22050,0.118,0.388,0.202,0.292
22051,0.274,0.248,0.37,0.108
22052,0.356,0.374,0.134,0.136
22053,0.084,0.724,0.088,0.104
22054,0.068,0.16,0.682,0.09
22055,0.138,0.446,0.31,0.106
22056,0.114,0.248,0.544,0.094
22057,0.346,0.154,0.294,0.206
22058,0.154,0.474,0.266,0.106
22059,0.438,0.378,0.064,0.12
22060,0.21,0.14,0.104,0.546
22061,0.076,0.158,0.532,0.234
22062,0.036,0.174,0.628,0.162
22063,0.05,0.688,0.118,0.144
22064,0.596,0.106,0.15,0.148
22065,0.096,0.142,0.464,0.298
22066,0.482,0.068,0.104,0.346
22067,0.382,0.166,0.064,0.388
22068,0.1,0.75,0.024,0.126
22069,0.076,0.462,0.068,0.394
22070,0.236,0.092,0.076,0.596
22071,0.246,0.164,0.106,0.484
22072,0.04,0.584,0.21,0.166
22073,0.14,0.132,0.418,0.31
22074,0.046,0.742,0.116,0.096
22075,0.128,0.232,0.294,0.346
22076,0.704,0.072,0.066,0.158
22077,0.19,0.13,0.122,0.558
22078,0.226,0.15,0.092,0.532
22079,0.394,0.116,0.09,0.4
22080,0.108,0.092,0.492,0.308
22081,0.098,0.624,0.11,0.168
22082,0.504,0.14,0.11,0.246
22083,0.072,0.518,0.134,0.276
22084,0.122,0.224,0.102,0.552
22085,0.25,0.088,0.176,0.486
22086,0.098,0.356,0.11,0.436
22087,0.082,0.104,0.36,0.454
22088,0.124,0.266,0.128,0.482
22089,0.086,0.492,0.176,0.246
22090,0.14,0.176,0.176,0.508
22091,0.08,0.1,0.58,0.24
22092,0.462,0.22,0.078,0.24
22093,0.104,0.18,0.414,0.302
22094,0.14,0.092,0.258,0.51
22095,0.114,0.132,0.122,0.632
22096,0.108,0.07,0.574,0.248
22097,0.384,0.118,0.12,0.378
22098,0.254,0.118,0.538,0.09
22099,0.132,0.374,0.11,0.384
22100,0.112,0.132,0.598,0.158
22101,0.372,0.17,0.114,0.344
22102,0.086,0.386,0.134,0.394
22103,0.206,0.198,0.15,0.446
22104,0.236,0.232,0.08,0.452
22105,0.096,0.338,0.144,0.422
22106,0.456,0.15,0.148,0.246
22107,0.108,0.092,0.54,0.26
22108,0.388,0.162,0.178,0.272
22109,0.334,0.382,0.068,0.216
22110,0.164,0.086,0.134,0.616
22111,0.318,0.142,0.114,0.426
22112,0.122,0.168,0.494,0.216
22113,0.104,0.536,0.124,0.236
22114,0.216,0.092,0.142,0.55
22115,0.176,0.134,0.152,0.538
22116,0.088,0.218,0.496,0.198
22117,0.2,0.184,0.452,0.164
22118,0.59,0.11,0.104,0.196
22119,0.126,0.474,0.116,0.284
22120,0.14,0.12,0.426,0.314
22121,0.146,0.198,0.144,0.512
22122,0.15,0.206,0.55,0.094
22123,0.082,0.524,0.138,0.256
22124,0.092,0.356,0.246,0.306
22125,0.272,0.134,0.164,0.43
22126,0.182,0.144,0.18,0.494
22127,0.542,0.098,0.166,0.194
22128,0.43,0.194,0.178,0.198
22129,0.142,0.118,0.188,0.552
22130,0.13,0.298,0.474,0.098
22131,0.55,0.126,0.174,0.15
22132,0.138,0.25,0.368,0.244
22133,0.092,0.124,0.574,0.21
22134,0.274,0.118,0.148,0.46
22135,0.55,0.082,0.118,0.25
22136,0.174,0.34,0.058,0.428
22137,0.092,0.306,0.242,0.36
22138,0.112,0.532,0.068,0.288
22139,0.126,0.262,0.276,0.336
22140,0.074,0.066,0.63,0.23
22141,0.052,0.222,0.342,0.384
22142,0.258,0.054,0.398,0.29
22143,0.052,0.426,0.336,0.186
22144,0.048,0.252,0.55,0.15
22145,0.086,0.06,0.48,0.374
22146,0.096,0.052,0.662,0.19
22147,0.18,0.088,0.246,0.486
22148,0.452,0.094,0.046,0.408
22149,0.054,0.536,0.056,0.354
22150,0.084,0.056,0.714,0.146
22151,0.098,0.056,0.644,0.202
22152,0.21,0.06,0.064,0.666
22153,0.042,0.402,0.48,0.076
22154,0.05,0.528,0.056,0.366
22155,0.096,0.262,0.236,0.406
22156,0.058,0.434,0.248,0.26
22157,0.126,0.442,0.246,0.186
22158,0.106,0.378,0.134,0.382
22159,0.09,0.36,0.372,0.178
22160,0.096,0.19,0.114,0.6
22161,0.07,0.232,0.24,0.458
22162,0.144,0.17,0.398,0.288
22163,0.3,0.144,0.114,0.442
22164,0.062,0.06,0.606,0.272
22165,0.066,0.58,0.128,0.226
22166,0.402,0.46,0.052,0.086
22167,0.53,0.206,0.146,0.118
22168,0.162,0.104,0.512,0.222
22169,0.478,0.076,0.164,0.282
22170,0.066,0.294,0.482,0.158
22171,0.122,0.368,0.228,0.282
22172,0.254,0.122,0.128,0.496
22173,0.246,0.418,0.096,0.24
22174,0.466,0.144,0.118,0.272
22175,0.108,0.414,0.12,0.358
22176,0.218,0.136,0.196,0.45
22177,0.176,0.096,0.164,0.564
22178,0.274,0.32,0.138,0.268
22179,0.112,0.26,0.13,0.498
22180,0.196,0.158,0.476,0.17
22181,0.148,0.486,0.108,0.258
22182,0.368,0.076,0.232,0.324
22183,0.196,0.414,0.1,0.29
22184,0.234,0.098,0.142,0.526
22185,0.204,0.278,0.102,0.416
22186,0.134,0.426,0.112,0.328
22187,0.136,0.264,0.114,0.486
22188,0.202,0.2,0.262,0.336
22189,0.218,0.046,0.368,0.368
22190,0.104,0.382,0.124,0.39
22191,0.196,0.13,0.494,0.18
22192,0.08,0.118,0.23,0.572
22193,0.124,0.142,0.16,0.574
22194,0.25,0.18,0.088,0.482
22195,0.174,0.532,0.182,0.112
22196,0.212,0.09,0.124,0.574
22197,0.12,0.386,0.086,0.408
22198,0.138,0.126,0.156,0.58
22199,0.606,0.128,0.076,0.19
22200,0.396,0.08,0.112,0.412
22201,0.118,0.592,0.1,0.19
22202,0.536,0.212,0.09,0.162
22203,0.564,0.186,0.104,0.146
22204,0.158,0.166,0.078,0.598
22205,0.26,0.164,0.168,0.408
22206,0.11,0.136,0.34,0.414
22207,0.116,0.126,0.25,0.508
22208,0.232,0.186,0.112,0.47
22209,0.16,0.128,0.128,0.584
22210,0.104,0.198,0.136,0.562
22211,0.152,0.194,0.076,0.578
22212,0.098,0.294,0.276,0.332
22213,0.138,0.234,0.162,0.466
22214,0.106,0.196,0.37,0.328
22215,0.102,0.15,0.57,0.178
22216,0.406,0.188,0.15,0.256
22217,0.106,0.146,0.522,0.226
22218,0.112,0.268,0.088,0.532
22219,0.254,0.162,0.13,0.454
22220,0.612,0.078,0.116,0.194
22221,0.134,0.17,0.17,0.526
22222,0.58,0.13,0.156,0.134
22223,0.262,0.34,0.11,0.288
22224,0.198,0.138,0.216,0.448
22225,0.62,0.16,0.108,0.112
22226,0.094,0.11,0.616,0.18
22227,0.2,0.188,0.298,0.314
22228,0.092,0.574,0.104,0.23
22229,0.212,0.44,0.112,0.236
22230,0.23,0.124,0.484,0.162
22231,0.708,0.094,0.088,0.11
22232,0.418,0.12,0.092,0.37
22233,0.128,0.152,0.31,0.41
22234,0.4,0.422,0.064,0.114
22235,0.412,0.07,0.088,0.43
22236,0.726,0.07,0.064,0.14
22237,0.2,0.088,0.276,0.436
22238,0.052,0.14,0.584,0.224
22239,0.096,0.63,0.154,0.12
22240,0.074,0.224,0.324,0.378
22241,0.294,0.146,0.128,0.432
22242,0.396,0.2,0.066,0.338
22243,0.076,0.56,0.064,0.3
22244,0.272,0.502,0.052,0.174
22245,0.584,0.106,0.068,0.242
22246,0.068,0.572,0.072,0.288
22247,0.092,0.102,0.472,0.334
22248,0.48,0.096,0.326,0.098
22249,0.088,0.116,0.322,0.474
22250,0.39,0.088,0.18,0.342
22251,0.074,0.084,0.298,0.544
22252,0.1,0.074,0.472,0.354
22253,0.168,0.398,0.102,0.332
22254,0.076,0.106,0.296,0.522
22255,0.116,0.102,0.276,0.506
22256,0.222,0.086,0.176,0.516
22257,0.452,0.114,0.148,0.286
22258,0.076,0.252,0.296,0.376
22259,0.168,0.108,0.126,0.598
22260,0.092,0.07,0.252,0.586
22261,0.154,0.146,0.344,0.356
22262,0.318,0.172,0.1,0.41
22263,0.096,0.184,0.104,0.616
22264,0.364,0.194,0.108,0.334
22265,0.19,0.192,0.362,0.256
22266,0.182,0.076,0.234,0.508
22267,0.08,0.114,0.396,0.41
22268,0.194,0.196,0.116,0.494
22269,0.22,0.536,0.098,0.146
22270,0.184,0.146,0.3,0.37
22271,0.216,0.182,0.344,0.258
22272,0.202,0.36,0.086,0.352
22273,0.216,0.222,0.28,0.282
22274,0.182,0.454,0.11,0.254
22275,0.106,0.496,0.148,0.25
22276,0.09,0.262,0.316,0.332
22277,0.336,0.25,0.282,0.132
22278,0.12,0.324,0.278,0.278
22279,0.392,0.23,0.1,0.278
22280,0.268,0.136,0.252,0.344
22281,0.6,0.108,0.11,0.182
22282,0.1,0.328,0.472,0.1
22283,0.174,0.176,0.22,0.43
22284,0.248,0.254,0.384,0.114
22285,0.13,0.326,0.112,0.432
22286,0.238,0.082,0.342,0.338
22287,0.296,0.25,0.11,0.344
22288,0.288,0.294,0.158,0.26
22289,0.138,0.428,0.122,0.312
22290,0.258,0.106,0.362,0.274
22291,0.444,0.126,0.108,0.322
22292,0.31,0.134,0.142,0.414
22293,0.174,0.33,0.114,0.382
22294,0.296,0.274,0.124,0.306
22295,0.28,0.172,0.298,0.25
22296,0.164,0.186,0.262,0.388
22297,0.148,0.196,0.282,0.374
22298,0.116,0.25,0.366,0.268
22299,0.108,0.368,0.152,0.372
