"","Ch1","Ch2","Ch3","Ch4","No"
"319",0.016,0.174,0.022,0.788,319
"320",0.03,0.828,0.064,0.078,320
"321",0.078,0.03,0.058,0.834,321
"322",0.672,0.152,0.044,0.132,322
"323",0.076,0.108,0.732,0.084,323
"324",0.026,0.82,0.06,0.094,324
"325",0.06,0.06,0.748,0.132,325
"326",0.06,0.098,0.73,0.112,326
"327",0.282,0.226,0.21,0.282,327
"328",0.75,0.116,0.064,0.07,328
"329",0.22,0.136,0.21,0.434,329
"330",0.088,0.118,0.734,0.06,330
"331",0.036,0.102,0.036,0.826,331
"332",0.078,0.044,0.07,0.808,332
"333",0.232,0.292,0.108,0.368,333
"334",0.07,0.058,0.04,0.832,334
"335",0.034,0.066,0.754,0.146,335
"336",0.064,0.07,0.066,0.8,336
"337",0.024,0.044,0.742,0.19,337
"338",0.108,0.106,0.24,0.546,338
"339",0.066,0.76,0.114,0.06,339
"340",0.144,0.182,0.13,0.544,340
"341",0.046,0.056,0.076,0.822,341
"342",0.038,0.058,0.798,0.106,342
"343",0.224,0.48,0.1,0.196,343
"344",0.67,0.024,0.154,0.152,344
"345",0.042,0.036,0.792,0.13,345
"346",0.114,0.03,0.69,0.166,346
"347",0.044,0.796,0.062,0.098,347
"348",0.068,0.092,0.792,0.048,348
"349",0.05,0.706,0.076,0.168,349
"350",0.028,0.022,0.822,0.128,350
"351",0.716,0.12,0.038,0.126,351
"352",0.094,0.802,0.032,0.072,352
"353",0.066,0.064,0.724,0.146,353
"354",0.682,0.244,0.026,0.048,354
"355",0.108,0.734,0.044,0.114,355
"356",0.06,0.774,0.046,0.12,356
"357",0.018,0.8,0.07,0.112,357
"358",0.046,0.72,0.036,0.198,358
"359",0.058,0.72,0.03,0.192,359
"360",0.11,0.572,0.086,0.232,360
"361",0.712,0.076,0.098,0.114,361
"362",0.134,0.086,0.684,0.096,362
"363",0.15,0.122,0.138,0.59,363
"364",0.694,0.03,0.228,0.048,364
"365",0.078,0.07,0.688,0.164,365
"366",0.168,0.236,0.486,0.11,366
"367",0.14,0.208,0.14,0.512,367
"368",0.154,0.648,0.074,0.124,368
"369",0.07,0.044,0.17,0.716,369
"370",0.268,0.158,0.122,0.452,370
"371",0.056,0.126,0.042,0.776,371
"372",0.208,0.042,0.034,0.716,372
"373",0.048,0.056,0.048,0.848,373
"374",0.468,0.158,0.126,0.248,374
"375",0.23,0.104,0.148,0.518,375
"376",0.076,0.048,0.12,0.756,376
"377",0.038,0.154,0.058,0.75,377
"378",0.894,0.036,0.034,0.036,378
"379",0.078,0.032,0.662,0.228,379
"380",0.044,0.866,0.04,0.05,380
"381",0.708,0.118,0.062,0.112,381
"382",0.052,0.068,0.058,0.822,382
"383",0.104,0.052,0.068,0.776,383
"384",0.052,0.02,0.884,0.044,384
"385",0.314,0.294,0.144,0.248,385
"386",0.062,0.818,0.054,0.066,386
"387",0.81,0.048,0.04,0.102,387
"388",0.722,0.116,0.03,0.132,388
"389",0.116,0.074,0.066,0.744,389
"390",0.054,0.77,0.062,0.114,390
"391",0.062,0.058,0.05,0.83,391
"392",0.12,0.042,0.78,0.058,392
"393",0.064,0.812,0.032,0.092,393
"394",0.108,0.056,0.046,0.79,394
"395",0.252,0.414,0.102,0.232,395
"396",0.056,0.768,0.038,0.138,396
"397",0.074,0.826,0.034,0.066,397
"398",0.118,0.156,0.57,0.156,398
"399",0.674,0.218,0.038,0.07,399
"400",0.044,0.126,0.03,0.8,400
"401",0.216,0.252,0.31,0.222,401
"402",0.224,0.082,0.398,0.296,402
"403",0.084,0.396,0.094,0.426,403
"404",0.062,0.032,0.162,0.744,404
"405",0.038,0.148,0.054,0.76,405
"406",0.04,0.086,0.19,0.684,406
"407",0.316,0.352,0.042,0.29,407
"408",0.034,0.07,0.22,0.676,408
"409",0.08,0.136,0.03,0.754,409
"410",0.1,0.12,0.152,0.628,410
"411",0.06,0.366,0.106,0.468,411
"412",0.038,0.106,0.032,0.824,412
"413",0.04,0.032,0.074,0.854,413
"414",0.15,0.428,0.072,0.35,414
"415",0.14,0.054,0.03,0.776,415
"416",0.682,0.05,0.072,0.196,416
"417",0.026,0.082,0.146,0.746,417
"418",0.086,0.354,0.12,0.44,418
"419",0.484,0.09,0.162,0.264,419
"420",0.772,0.058,0.056,0.114,420
"421",0.172,0.122,0.118,0.588,421
"422",0.102,0.236,0.252,0.41,422
"423",0.768,0.032,0.132,0.068,423
"424",0.222,0.634,0.05,0.094,424
"425",0.042,0.054,0.69,0.214,425
"426",0.086,0.706,0.068,0.14,426
"427",0.214,0.554,0.15,0.082,427
"428",0.034,0.044,0.746,0.176,428
"429",0.486,0.07,0.088,0.356,429
"430",0.026,0.03,0.762,0.182,430
"431",0.084,0.648,0.07,0.198,431
"432",0.076,0.048,0.05,0.826,432
"433",0.06,0.792,0.06,0.088,433
"434",0.264,0.652,0.038,0.046,434
"435",0.648,0.024,0.052,0.276,435
"436",0.852,0.096,0.02,0.032,436
"437",0.056,0.716,0.048,0.18,437
"438",0.306,0.086,0.162,0.446,438
"439",0.156,0.128,0.238,0.478,439
"440",0.292,0.124,0.176,0.408,440
"441",0.058,0.848,0.042,0.052,441
"442",0.15,0.372,0.078,0.4,442
"443",0.16,0.27,0.112,0.458,443
"444",0.042,0.024,0.078,0.856,444
"445",0.196,0.142,0.232,0.43,445
"446",0.046,0.048,0.096,0.81,446
"447",0.108,0.13,0.152,0.61,447
"448",0.04,0.034,0.852,0.074,448
"449",0.686,0.042,0.172,0.1,449
"450",0.072,0.098,0.048,0.782,450
"451",0.068,0.658,0.088,0.186,451
"452",0.668,0.108,0.038,0.186,452
"453",0.062,0.064,0.138,0.736,453
"454",0.048,0.042,0.722,0.188,454
"455",0.442,0.164,0.162,0.232,455
"456",0.108,0.03,0.03,0.832,456
"457",0.14,0.028,0.038,0.794,457
"458",0.018,0.118,0.056,0.808,458
"459",0.136,0.054,0.028,0.782,459
"460",0.044,0.014,0.216,0.726,460
"461",0.306,0.228,0.094,0.372,461
"462",0.11,0.158,0.626,0.106,462
"463",0.05,0.088,0.092,0.77,463
"464",0.074,0.06,0.092,0.774,464
"465",0.702,0.036,0.12,0.142,465
"466",0.03,0.138,0.026,0.806,466
"467",0.036,0.204,0.034,0.726,467
"468",0.08,0.03,0.038,0.852,468
"469",0.03,0.826,0.048,0.096,469
"470",0.04,0.046,0.06,0.854,470
"471",0.08,0.604,0.22,0.096,471
"472",0.05,0.872,0.038,0.04,472
"473",0.848,0.068,0.024,0.06,473
"474",0.046,0.032,0.044,0.878,474
"475",0.05,0.056,0.852,0.042,475
"476",0.08,0.182,0.044,0.694,476
"477",0.038,0.112,0.098,0.752,477
"478",0.324,0.314,0.078,0.284,478
"479",0.066,0.15,0.04,0.744,479
"480",0.076,0.1,0.082,0.742,480
"481",0.022,0.032,0.178,0.768,481
"482",0.032,0.09,0.142,0.736,482
"483",0.058,0.804,0.066,0.072,483
"484",0.088,0.068,0.068,0.776,484
"485",0.102,0.16,0.024,0.714,485
"486",0.044,0.242,0.04,0.674,486
"487",0.072,0.168,0.036,0.724,487
"488",0.216,0.438,0.078,0.268,488
"489",0.16,0.076,0.41,0.354,489
"490",0.112,0.15,0.384,0.354,490
"491",0.068,0.074,0.148,0.71,491
"492",0.4,0.196,0.238,0.166,492
"493",0.062,0.07,0.168,0.7,493
"494",0.806,0.042,0.046,0.106,494
"495",0.288,0.284,0.236,0.192,495
"496",0.072,0.092,0.162,0.674,496
"497",0.09,0.092,0.176,0.642,497
"498",0.162,0.094,0.044,0.7,498
"499",0.17,0.24,0.224,0.366,499
"500",0.108,0.118,0.048,0.726,500
"501",0.106,0.054,0.11,0.73,501
"502",0.112,0.068,0.072,0.748,502
"503",0.128,0.11,0.044,0.718,503
"504",0.066,0.116,0.07,0.748,504
"505",0.122,0.038,0.1,0.74,505
"506",0.188,0.042,0.066,0.704,506
"507",0.1,0.076,0.122,0.702,507
"508",0.178,0.054,0.046,0.722,508
"509",0.034,0.058,0.256,0.652,509
"510",0.05,0.15,0.044,0.756,510
"511",0.15,0.062,0.064,0.724,511
"512",0.058,0.076,0.192,0.674,512
"513",0.06,0.108,0.074,0.758,513
"514",0.054,0.174,0.638,0.134,514
"515",0.226,0.124,0.32,0.33,515
"516",0.674,0.094,0.084,0.148,516
"517",0.072,0.744,0.032,0.152,517
"518",0.132,0.718,0.044,0.106,518
"519",0.022,0.762,0.086,0.13,519
"520",0.05,0.062,0.784,0.104,520
"521",0.03,0.842,0.052,0.076,521
"522",0.066,0.042,0.774,0.118,522
"523",0.09,0.044,0.752,0.114,523
"524",0.728,0.14,0.024,0.108,524
"525",0.054,0.788,0.054,0.104,525
"526",0.03,0.05,0.82,0.1,526
"527",0.054,0.78,0.078,0.088,527
"528",0.078,0.048,0.7,0.174,528
"529",0.05,0.06,0.762,0.128,529
"530",0.722,0.074,0.056,0.148,530
"531",0.04,0.78,0.066,0.114,531
"532",0.676,0.124,0.054,0.146,532
"533",0.138,0.384,0.328,0.15,533
"534",0.046,0.748,0.144,0.062,534
"535",0.218,0.334,0.3,0.148,535
"536",0.046,0.814,0.064,0.076,536
"537",0.116,0.402,0.322,0.16,537
"538",0.096,0.114,0.676,0.114,538
"539",0.154,0.292,0.312,0.242,539
"540",0.666,0.092,0.126,0.116,540
"541",0.372,0.212,0.162,0.254,541
"542",0.036,0.038,0.196,0.73,542
"543",0.1,0.466,0.23,0.204,543
"544",0.324,0.452,0.114,0.11,544
"545",0.402,0.278,0.202,0.118,545
"546",0.07,0.708,0.154,0.068,546
"547",0.334,0.164,0.246,0.256,547
"548",0.044,0.766,0.126,0.064,548
"549",0.066,0.17,0.708,0.056,549
"550",0.272,0.228,0.218,0.282,550
"551",0.724,0.162,0.068,0.046,551
"552",0.118,0.15,0.038,0.694,552
"553",0.074,0.114,0.122,0.69,553
"554",0.158,0.224,0.37,0.248,554
"555",0.192,0.134,0.494,0.18,555
"556",0.02,0.142,0.112,0.726,556
"557",0.038,0.064,0.202,0.696,557
"558",0.142,0.114,0.134,0.61,558
"559",0.026,0.04,0.188,0.746,559
"560",0.094,0.148,0.076,0.682,560
"561",0.044,0.116,0.122,0.718,561
"562",0.09,0.128,0.104,0.678,562
"563",0.116,0.072,0.082,0.73,563
"564",0.016,0.108,0.164,0.712,564
"565",0.098,0.092,0.096,0.714,565
"566",0.362,0.278,0.24,0.12,566
"567",0.108,0.1,0.03,0.762,567
"568",0.124,0.086,0.03,0.76,568
"569",0.282,0.4,0.09,0.228,569
"570",0.102,0.044,0.096,0.758,570
"571",0.808,0.1,0.038,0.054,571
"572",0.12,0.052,0.342,0.486,572
"573",0.018,0.048,0.28,0.654,573
"574",0.148,0.148,0.022,0.682,574
"575",0.046,0.028,0.164,0.762,575
"576",0.098,0.062,0.326,0.514,576
"577",0.25,0.014,0.062,0.674,577
"578",0.822,0.088,0.014,0.076,578
"579",0.078,0.268,0.076,0.578,579
"580",0.444,0.334,0.076,0.146,580
"581",0.036,0.258,0.036,0.67,581
"582",0.072,0.11,0.018,0.8,582
"583",0.07,0.11,0.07,0.75,583
"584",0.032,0.012,0.906,0.05,584
"585",0.026,0.016,0.114,0.844,585
"586",0.096,0.042,0.016,0.846,586
"587",0.636,0.054,0.084,0.226,587
"588",0.032,0.028,0.056,0.884,588
"589",0.092,0.042,0.024,0.842,589
"590",0.072,0.16,0.678,0.09,590
"591",0.206,0.068,0.04,0.686,591
"592",0.098,0.804,0.014,0.084,592
"593",0.352,0.472,0.09,0.086,593
"594",0.652,0.234,0.05,0.064,594
"595",0.724,0.188,0.036,0.052,595
"596",0.666,0.052,0.14,0.142,596
"597",0.054,0.89,0.03,0.026,597
"598",0.68,0.092,0.16,0.068,598
"599",0.718,0.096,0.062,0.124,599
"600",0.044,0.866,0.05,0.04,600
"601",0.774,0.05,0.056,0.12,601
"602",0.89,0.038,0.03,0.042,602
"603",0.05,0.88,0.032,0.038,603
"604",0.68,0.056,0.154,0.11,604
"605",0.164,0.126,0.418,0.292,605
"606",0.082,0.7,0.178,0.04,606
"607",0.05,0.76,0.052,0.138,607
"608",0.118,0.766,0.032,0.084,608
"609",0.222,0.214,0.082,0.482,609
"610",0.058,0.038,0.712,0.192,610
"611",0.066,0.234,0.388,0.312,611
"612",0.644,0.228,0.032,0.096,612
"613",0.13,0.788,0.036,0.046,613
"614",0.02,0.726,0.192,0.062,614
"615",0.098,0.174,0.09,0.638,615
"616",0.164,0.676,0.126,0.034,616
"617",0.086,0.114,0.302,0.498,617
"618",0.14,0.042,0.782,0.036,618
"619",0.172,0.166,0.41,0.252,619
"620",0.054,0.352,0.272,0.322,620
"621",0.692,0.148,0.046,0.114,621
"622",0.034,0.814,0.048,0.104,622
"623",0.654,0.054,0.032,0.26,623
"624",0.65,0.038,0.1,0.212,624
"625",0.084,0.832,0.058,0.026,625
"626",0.028,0.034,0.708,0.23,626
"627",0.114,0.032,0.826,0.028,627
"628",0.796,0.074,0.066,0.064,628
"629",0.116,0.848,0.024,0.012,629
"630",0.19,0.074,0.708,0.028,630
"631",0.124,0.818,0.026,0.032,631
"632",0.048,0.042,0.104,0.806,632
"633",0.078,0.13,0.066,0.726,633
"634",0.084,0.728,0.084,0.104,634
"635",0.094,0.1,0.692,0.114,635
"636",0.87,0.068,0.024,0.038,636
"637",0.1,0.1,0.236,0.564,637
"638",0.028,0.8,0.052,0.12,638
"639",0.078,0.82,0.028,0.074,639
"640",0.064,0.872,0.036,0.028,640
"641",0.07,0.734,0.088,0.108,641
"642",0.04,0.77,0.046,0.144,642
"643",0.064,0.73,0.04,0.166,643
"644",0.038,0.1,0.058,0.804,644
"645",0.118,0.152,0.206,0.524,645
"646",0.064,0.046,0.052,0.838,646
"647",0.19,0.378,0.316,0.116,647
"648",0.142,0.58,0.09,0.188,648
"649",0.094,0.068,0.578,0.26,649
"650",0.104,0.768,0.042,0.086,650
"651",0.308,0.21,0.344,0.138,651
"652",0.696,0.098,0.13,0.076,652
"653",0.032,0.222,0.72,0.026,653
"654",0.75,0.088,0.054,0.108,654
"655",0.168,0.696,0.082,0.054,655
"656",0.462,0.096,0.132,0.31,656
"657",0.062,0.832,0.07,0.036,657
"658",0.052,0.042,0.868,0.038,658
"659",0.092,0.22,0.58,0.108,659
"660",0.856,0.066,0.042,0.036,660
"661",0.318,0.158,0.166,0.358,661
"662",0.108,0.734,0.05,0.108,662
"663",0.77,0.12,0.044,0.066,663
"664",0.796,0.038,0.108,0.058,664
