"","Ch1","Ch2","Ch3","Ch4"
"197",1,0,0,0
"198",0,0,1,0
"199",1,0,0,0
"200",0,1,0,0
"201",0,1,0,0
"202",0,0,1,0
"210",1,0,0,0
"211",0,1,0,0
"212",0,0,1,0
"213",0,0,1,0
"214",1,0,0,0
"215",1,0,0,0
"216",0,0,1,0
"217",0,0,1,0
"218",1,0,0,0
"219",0,1,0,0
"220",0,1,0,0
"221",0,0,1,0
"229",0,0,0,1
"230",0,0,0,1
"231",0,0,0,1
"232",0,0,0,1
"233",0,0,0,1
"234",0,0,0,1
"235",0,0,0,1
"236",0,0,0,1
"237",0,0,0,1
"238",0,0,0,1
"239",0,0,0,1
"240",0,0,0,1
"248",1,0,0,0
"249",0,0,0,1
"250",0,0,1,0
"251",1,0,0,0
"252",0,0,0,1
"253",1,0,0,0
"254",0,0,0,1
"255",0,0,0,1
"256",1,0,0,0
"257",0,0,1,0
"258",0,0,0,1
"259",0,1,0,0
"267",0,1,0,0
"268",1,0,0,0
"269",0,0,1,0
"270",0,1,0,0
"271",1,0,0,0
"272",1,0,0,0
"273",0,0,1,0
"274",0,1,0,0
"275",0,0,0,1
"276",0,1,0,0
"277",0,1,0,0
"278",0,1,0,0
"286",0,1,0,0
"287",0,0,1,0
"288",0,0,1,0
"289",0,0,0,1
"290",0,0,0,1
"291",0,0,1,0
"292",0,1,0,0
"293",0,0,0,1
"294",0,0,0,1
"295",1,0,0,0
"296",0,0,0,1
"297",0,0,0,1
"305",0,1,0,0
"306",0,0,1,0
"307",0,0,1,0
"308",0,1,0,0
"309",0,1,0,0
"310",1,0,0,0
"311",0,0,0,1
"312",1,0,0,0
"313",1,0,0,0
"314",1,0,0,0
"315",0,1,0,0
"316",0,1,0,0
"324",0,1,0,0
"325",0,0,1,0
"326",0,0,1,0
"327",1,0,0,0
"328",1,0,0,0
"329",0,0,0,1
"330",0,0,1,0
"331",0,0,0,1
"332",0,0,0,1
"333",0,1,0,0
"334",0,0,0,1
"335",0,0,1,0
"343",1,0,0,0
"344",1,0,0,0
"345",0,0,1,0
"346",0,0,1,0
"347",0,1,0,0
"348",0,0,1,0
"349",0,1,0,0
"350",0,0,1,0
"351",1,0,0,0
"352",0,1,0,0
"353",0,0,1,0
"354",1,0,0,0
"362",0,0,1,0
"363",0,0,0,1
"364",1,0,0,0
"365",0,0,1,0
"366",0,0,0,1
"367",0,0,0,1
"368",0,1,0,0
"369",0,0,0,1
"370",0,0,0,1
"371",0,0,0,1
"372",0,0,0,1
"373",0,0,0,1
"381",1,0,0,0
"382",0,0,0,1
"383",0,0,0,1
"384",0,0,1,0
"385",1,0,0,0
"386",0,1,0,0
"387",1,0,0,0
"388",1,0,0,0
"389",0,0,0,1
"390",0,1,0,0
"391",0,0,0,1
"392",0,0,1,0
"400",0,0,0,1
"401",0,0,0,1
"402",0,0,0,1
"403",0,0,0,1
"404",0,0,0,1
"405",0,0,0,1
"406",0,0,0,1
"407",0,0,0,1
"408",0,0,0,1
"409",0,0,0,1
"410",0,0,0,1
"411",0,0,0,1
"419",0,1,0,0
"420",1,0,0,0
"421",1,0,0,0
"422",0,1,0,0
"423",1,0,0,0
"424",0,1,0,0
"425",0,0,1,0
"426",0,1,0,0
"427",0,1,0,0
"428",0,0,1,0
"429",0,0,1,0
"430",0,0,1,0
"438",1,0,0,0
"439",0,0,1,0
"440",1,0,0,0
"441",0,1,0,0
"442",0,0,0,1
"443",0,0,0,1
"444",0,0,0,1
"445",0,0,0,1
"446",0,0,0,1
"447",0,0,0,1
"448",0,0,1,0
"449",1,0,0,0
"457",0,0,0,1
"458",0,0,0,1
"459",0,0,0,1
"460",0,0,0,1
"461",0,0,0,1
"462",0,0,1,0
"463",0,0,0,1
"464",0,0,0,1
"465",1,0,0,0
"466",0,0,0,1
"467",0,0,0,1
"468",0,0,0,1
"476",0,0,0,1
"477",0,0,0,1
"478",0,0,0,1
"479",0,0,0,1
"480",0,0,0,1
"481",0,0,0,1
"482",0,0,0,1
"483",0,1,0,0
"484",0,0,0,1
"485",0,0,0,1
"486",0,0,0,1
"487",0,0,0,1
"495",0,0,0,1
"496",0,0,0,1
"497",0,0,0,1
"498",0,0,0,1
"499",0,0,0,1
"500",0,0,0,1
"501",0,0,0,1
"502",0,0,0,1
"503",0,0,0,1
"504",0,0,0,1
"505",0,0,0,1
"506",0,0,0,1
"514",0,0,1,0
"515",1,0,0,0
"516",1,0,0,0
"517",0,1,0,0
"518",0,1,0,0
"519",0,1,0,0
"520",0,0,1,0
"521",0,1,0,0
"522",0,0,1,0
"523",0,0,1,0
"524",1,0,0,0
"525",0,1,0,0
"533",0,1,0,0
"534",0,1,0,0
"535",0,1,0,0
"536",0,1,0,0
"537",1,0,0,0
"538",0,0,1,0
"539",1,0,0,0
"540",1,0,0,0
"541",0,1,0,0
"542",0,0,0,1
"543",1,0,0,0
"544",0,0,1,0
"552",0,0,0,1
"553",0,0,0,1
"554",0,0,0,1
"555",0,0,0,1
"556",0,0,0,1
"557",0,0,0,1
"558",0,0,0,1
"559",0,0,0,1
"560",0,0,0,1
"561",0,0,0,1
"562",0,0,0,1
"563",0,0,0,1
"571",1,0,0,0
"572",0,0,0,1
"573",0,0,0,1
"574",0,0,0,1
"575",0,0,0,1
"576",0,0,0,1
"577",0,0,0,1
"578",1,0,0,0
"579",0,0,0,1
"580",0,0,0,1
"581",0,0,0,1
"582",0,0,0,1
"590",0,0,1,0
"591",0,0,0,1
"592",0,1,0,0
"593",0,0,1,0
"594",1,0,0,0
"595",1,0,0,0
"596",1,0,0,0
"597",0,1,0,0
"598",1,0,0,0
"599",1,0,0,0
"600",0,1,0,0
"601",1,0,0,0
"609",1,0,0,0
"610",0,0,1,0
"611",0,1,0,0
"612",1,0,0,0
"613",0,1,0,0
"614",0,1,0,0
"615",0,0,1,0
"616",0,1,0,0
"617",0,0,1,0
"618",0,0,1,0
"619",1,0,0,0
"620",0,1,0,0
"628",1,0,0,0
"629",0,1,0,0
"630",0,0,1,0
"631",0,1,0,0
"632",0,0,0,1
"633",0,0,0,1
"634",0,1,0,0
"635",0,0,1,0
"636",1,0,0,0
"637",0,0,0,1
"638",0,1,0,0
"639",0,1,0,0
"647",0,0,1,0
"648",0,1,0,0
"649",0,0,1,0
"650",0,1,0,0
"651",0,0,1,0
"652",1,0,0,0
"653",0,0,1,0
"654",1,0,0,0
"655",0,1,0,0
"656",0,0,1,0
"657",0,1,0,0
"658",0,0,1,0
"666",0,0,0,1
"667",0,0,0,1
"668",0,0,1,0
"669",0,1,0,0
"670",0,0,0,1
"671",0,0,0,1
"672",0,0,1,0
"673",1,0,0,0
"674",0,0,0,1
"675",0,0,0,1
"676",0,0,0,1
"677",0,0,1,0
"685",0,0,0,1
"686",0,0,0,1
"687",0,0,0,1
"688",0,0,0,1
"689",0,1,0,0
"690",1,0,0,0
"691",0,0,1,0
"692",0,0,1,0
"693",0,0,0,1
"694",0,0,0,1
"695",0,0,0,1
"696",0,1,0,0
"704",0,0,1,0
"705",0,1,0,0
"706",0,1,0,0
"707",1,0,0,0
"708",1,0,0,0
"709",0,1,0,0
"710",0,1,0,0
"711",1,0,0,0
"712",0,0,1,0
"713",0,0,0,1
"714",0,1,0,0
"715",0,0,1,0
"723",0,0,0,1
"724",0,0,1,0
"725",0,0,0,1
"726",0,0,0,1
"727",1,0,0,0
"728",0,0,0,1
"729",0,0,0,1
"730",0,0,1,0
"731",0,0,0,1
"732",0,0,1,0
"733",0,0,0,1
"734",0,0,0,1
"742",0,0,1,0
"743",0,0,1,0
"744",0,1,0,0
"745",0,0,1,0
"746",0,0,0,1
"747",0,0,0,1
"748",1,0,0,0
"749",1,0,0,0
"750",0,0,1,0
"751",0,0,0,1
"752",0,1,0,0
"753",0,0,0,1
"761",1,0,0,0
"762",1,0,0,0
"763",0,1,0,0
"764",1,0,0,0
"765",1,0,0,0
"766",1,0,0,0
"767",0,0,1,0
"768",0,1,0,0
"769",0,0,1,0
"770",0,1,0,0
"771",1,0,0,0
"772",0,0,0,1
"780",1,0,0,0
"781",0,0,1,0
"782",0,0,0,1
"783",1,0,0,0
"784",0,0,1,0
"785",0,0,1,0
"786",0,1,0,0
"787",0,0,1,0
"788",1,0,0,0
"789",0,0,1,0
"790",1,0,0,0
"791",0,1,0,0
"799",0,0,1,0
"800",1,0,0,0
"801",0,0,0,1
"802",1,0,0,0
"803",0,0,0,1
"804",1,0,0,0
"805",1,0,0,0
"806",0,0,1,0
"807",0,0,1,0
"808",0,1,0,0
"809",0,1,0,0
"810",1,0,0,0
"818",1,0,0,0
"819",1,0,0,0
"820",0,1,0,0
"821",0,1,0,0
"822",0,1,0,0
"823",0,0,1,0
"824",1,0,0,0
"825",1,0,0,0
"826",1,0,0,0
"827",1,0,0,0
"828",0,0,0,1
"829",1,0,0,0
"837",0,1,0,0
"838",0,0,1,0
"839",1,0,0,0
"840",0,1,0,0
"841",0,0,0,1
"842",1,0,0,0
"843",0,0,0,1
"844",1,0,0,0
"845",0,0,1,0
"846",0,0,1,0
"847",0,1,0,0
"848",0,0,0,1
"856",0,0,0,1
"857",1,0,0,0
"858",0,1,0,0
"859",0,0,1,0
"860",0,1,0,0
"861",0,0,0,1
"862",0,0,0,1
"863",1,0,0,0
"864",0,0,0,1
"865",0,0,0,1
"866",0,0,0,1
"867",0,0,0,1
"875",0,1,0,0
"876",0,0,1,0
"877",0,1,0,0
"878",1,0,0,0
"879",0,0,1,0
"880",0,0,1,0
"881",0,0,1,0
"882",1,0,0,0
"883",1,0,0,0
"884",0,0,0,1
"885",1,0,0,0
"886",0,1,0,0
"894",1,0,0,0
"895",0,0,0,1
"896",0,0,0,1
"897",0,0,1,0
"898",0,0,0,1
"899",0,0,0,1
"900",0,0,0,1
"901",0,1,0,0
"902",0,0,0,1
"903",0,0,0,1
"904",0,0,0,1
"905",0,0,0,1
"913",1,0,0,0
"914",0,0,1,0
"915",1,0,0,0
"916",0,0,1,0
"917",1,0,0,0
"918",1,0,0,0
"919",0,0,1,0
"920",0,0,1,0
"921",0,1,0,0
"922",0,0,1,0
"923",0,0,1,0
"924",0,0,1,0
"932",0,0,1,0
"933",0,0,1,0
"934",1,0,0,0
"935",0,0,1,0
"936",1,0,0,0
"937",0,1,0,0
"938",1,0,0,0
"939",1,0,0,0
"940",0,1,0,0
"941",0,0,1,0
"942",0,1,0,0
"943",0,1,0,0
"951",0,0,0,1
"952",0,1,0,0
"953",0,0,0,1
"954",0,0,0,1
"955",0,0,1,0
"956",1,0,0,0
"957",0,0,0,1
"958",1,0,0,0
"959",0,0,0,1
"960",0,0,0,1
"961",0,0,1,0
"962",0,0,0,1
"970",1,0,0,0
"971",0,0,1,0
"972",0,0,0,1
"973",1,0,0,0
"974",0,0,1,0
"975",0,0,1,0
"976",1,0,0,0
"977",0,0,0,1
"978",0,0,1,0
"979",1,0,0,0
"980",0,1,0,0
"981",0,1,0,0
"989",0,0,0,1
"990",0,0,1,0
"991",0,0,1,0
"992",0,0,0,1
"993",0,0,1,0
"994",0,1,0,0
"995",0,0,0,1
"996",0,0,1,0
"997",0,0,1,0
"998",0,1,0,0
"999",0,0,1,0
"1000",1,0,0,0
"1008",1,0,0,0
"1009",1,0,0,0
"1010",0,0,0,1
"1011",1,0,0,0
"1012",0,0,0,1
"1013",0,0,0,1
"1014",0,0,0,1
"1015",0,0,0,1
"1016",0,0,0,1
"1017",0,0,1,0
"1018",0,0,0,1
"1019",0,1,0,0
"1027",0,0,0,1
"1028",0,0,0,1
"1029",0,0,0,1
"1030",0,0,0,1
"1031",0,0,0,1
"1032",0,0,0,1
"1033",1,0,0,0
"1034",0,0,0,1
"1035",0,0,1,0
"1036",0,0,0,1
"1037",0,0,1,0
"1038",1,0,0,0
"1046",0,1,0,0
"1047",1,0,0,0
"1048",0,0,0,1
"1049",0,0,1,0
"1050",1,0,0,0
"1051",0,1,0,0
"1052",0,0,0,1
"1053",0,0,0,1
"1054",0,0,1,0
"1055",0,0,1,0
"1056",0,0,0,1
"1057",0,0,1,0
"1065",0,0,0,1
"1066",0,1,0,0
"1067",0,0,0,1
"1068",0,0,0,1
"1069",0,0,0,1
"1070",0,0,0,1
"1071",0,0,0,1
"1072",0,0,0,1
"1073",0,0,0,1
"1074",0,0,0,1
"1075",0,0,0,1
"1076",1,0,0,0
"1084",0,0,1,0
"1085",0,0,1,0
"1086",0,0,1,0
"1087",0,1,0,0
"1088",0,1,0,0
"1089",1,0,0,0
"1090",0,1,0,0
"1091",0,1,0,0
"1092",0,0,1,0
"1093",0,1,0,0
"1094",0,0,1,0
"1095",0,0,1,0
"1103",0,1,0,0
"1104",1,0,0,0
"1105",0,1,0,0
"1106",1,0,0,0
"1107",0,0,1,0
"1108",0,0,0,1
"1109",0,0,0,1
"1110",0,0,1,0
"1111",0,1,0,0
"1112",0,1,0,0
"1113",0,0,1,0
"1114",0,0,0,1
"1122",0,0,1,0
"1123",0,0,1,0
"1124",0,1,0,0
"1125",0,1,0,0
"1126",0,1,0,0
"1127",0,1,0,0
"1128",0,1,0,0
"1129",0,0,1,0
"1130",0,1,0,0
"1131",0,0,1,0
"1132",0,1,0,0
"1133",0,1,0,0
"1141",1,0,0,0
"1142",1,0,0,0
"1143",1,0,0,0
"1144",0,1,0,0
"1145",0,1,0,0
"1146",1,0,0,0
"1147",0,0,1,0
"1148",1,0,0,0
"1149",1,0,0,0
"1150",1,0,0,0
"1151",1,0,0,0
"1152",1,0,0,0
"1160",0,1,0,0
"1161",0,0,1,0
"1162",0,0,1,0
"1163",0,0,0,1
"1164",0,0,0,1
"1165",0,0,0,1
"1166",0,0,0,1
"1167",1,0,0,0
"1168",0,0,0,1
"1169",0,1,0,0
"1170",0,1,0,0
"1171",1,0,0,0
"1179",0,0,0,1
"1180",0,0,0,1
"1181",0,0,1,0
"1182",0,0,0,1
"1183",1,0,0,0
"1184",0,0,0,1
"1185",1,0,0,0
"1186",0,0,0,1
"1187",0,0,1,0
"1188",0,0,0,1
"1189",0,0,0,1
"1190",1,0,0,0
"1198",0,0,1,0
"1199",0,0,1,0
"1200",1,0,0,0
"1201",0,1,0,0
"1202",0,0,1,0
"1203",0,0,1,0
"1204",1,0,0,0
"1205",1,0,0,0
"1206",0,0,0,1
"1207",0,0,0,1
"1208",0,0,0,1
"1209",0,0,0,1
"1217",1,0,0,0
"1218",0,1,0,0
"1219",0,0,1,0
"1220",0,1,0,0
"1221",0,1,0,0
"1222",1,0,0,0
"1223",1,0,0,0
"1224",1,0,0,0
"1225",0,0,1,0
"1226",0,1,0,0
"1227",0,0,1,0
"1228",0,0,1,0
"1236",0,0,1,0
"1237",0,0,1,0
"1238",1,0,0,0
"1239",0,0,0,1
"1240",0,0,0,1
"1241",0,0,0,1
"1242",0,1,0,0
"1243",1,0,0,0
"1244",0,1,0,0
"1245",1,0,0,0
"1246",0,0,0,1
"1247",0,1,0,0
"1255",0,1,0,0
"1256",1,0,0,0
"1257",0,0,0,1
"1258",0,0,1,0
"1259",0,0,0,1
"1260",0,0,0,1
"1261",0,0,1,0
"1262",0,1,0,0
"1263",0,0,0,1
"1264",0,0,0,1
"1265",0,1,0,0
"1266",0,0,0,1
"1274",1,0,0,0
"1275",0,1,0,0
"1276",1,0,0,0
"1277",0,0,1,0
"1278",0,1,0,0
"1279",0,1,0,0
"1280",0,1,0,0
"1281",0,0,1,0
"1282",0,0,0,1
"1283",0,0,1,0
"1284",0,0,1,0
"1285",0,0,0,1
"1293",0,1,0,0
"1294",0,0,1,0
"1295",0,0,1,0
"1296",0,0,1,0
"1297",0,0,1,0
"1298",0,0,1,0
"1299",0,0,1,0
"1300",0,0,1,0
"1301",0,0,1,0
"1302",0,0,1,0
"1303",0,0,1,0
"1304",0,0,1,0
"1312",1,0,0,0
"1313",0,0,1,0
"1314",0,1,0,0
"1315",0,1,0,0
"1316",0,0,1,0
"1317",0,0,1,0
"1318",1,0,0,0
"1319",1,0,0,0
"1320",0,0,1,0
"1321",1,0,0,0
"1322",0,0,0,1
"1323",1,0,0,0
"1331",1,0,0,0
"1332",0,1,0,0
"1333",0,0,1,0
"1334",0,1,0,0
"1335",0,0,1,0
"1336",0,1,0,0
"1337",0,0,1,0
"1338",0,0,0,1
"1339",0,0,1,0
"1340",0,1,0,0
"1341",0,0,1,0
"1342",0,1,0,0
"1350",0,0,1,0
"1351",0,0,0,1
"1352",0,0,1,0
"1353",1,0,0,0
"1354",0,1,0,0
"1355",0,0,0,1
"1356",0,0,0,1
"1357",0,0,0,1
"1358",0,0,1,0
"1359",0,0,0,1
"1360",0,0,1,0
"1361",0,0,0,1
"1369",1,0,0,0
"1370",1,0,0,0
"1371",1,0,0,0
"1372",0,0,0,1
"1373",0,0,0,1
"1374",0,1,0,0
"1375",0,0,1,0
"1376",0,1,0,0
"1377",0,1,0,0
"1378",0,0,1,0
"1379",0,0,0,1
"1380",0,0,0,1
"1388",1,0,0,0
"1389",0,0,0,1
"1390",0,0,0,1
"1391",0,0,0,1
"1392",1,0,0,0
"1393",0,0,0,1
"1394",0,1,0,0
"1395",1,0,0,0
"1396",0,1,0,0
"1397",0,1,0,0
"1398",0,1,0,0
"1399",0,0,0,1
"1407",1,0,0,0
"1408",0,0,0,1
"1409",0,0,0,1
"1410",0,0,0,1
"1411",0,1,0,0
"1412",0,0,0,1
"1413",0,0,0,1
"1414",0,0,0,1
"1415",0,0,0,1
"1416",0,0,0,1
"1417",0,0,0,1
"1418",0,0,0,1
"1426",1,0,0,0
"1427",0,1,0,0
"1428",1,0,0,0
"1429",0,0,1,0
"1430",0,0,1,0
"1431",0,1,0,0
"1432",1,0,0,0
"1433",0,1,0,0
"1434",0,0,1,0
"1435",1,0,0,0
"1436",0,1,0,0
"1437",0,1,0,0
"1445",0,0,1,0
"1446",0,0,1,0
"1447",0,0,1,0
"1448",1,0,0,0
"1449",1,0,0,0
"1450",0,1,0,0
"1451",0,0,1,0
"1452",0,1,0,0
"1453",1,0,0,0
"1454",1,0,0,0
"1455",0,0,1,0
"1456",1,0,0,0
"1464",1,0,0,0
"1465",1,0,0,0
"1466",0,0,1,0
"1467",1,0,0,0
"1468",1,0,0,0
"1469",0,0,1,0
"1470",0,0,1,0
"1471",1,0,0,0
"1472",1,0,0,0
"1473",1,0,0,0
"1474",0,1,0,0
"1475",0,0,0,1
"1483",1,0,0,0
"1484",1,0,0,0
"1485",0,0,1,0
"1486",1,0,0,0
"1487",1,0,0,0
"1488",1,0,0,0
"1489",0,0,1,0
"1490",0,0,1,0
"1491",0,1,0,0
"1492",0,0,1,0
"1493",0,0,1,0
"1494",0,1,0,0
"1502",0,0,1,0
"1503",1,0,0,0
"1504",0,1,0,0
"1505",0,0,1,0
"1506",1,0,0,0
"1507",0,0,1,0
"1508",0,0,1,0
"1509",0,1,0,0
"1510",0,0,1,0
"1511",1,0,0,0
"1512",0,0,0,1
"1513",0,0,0,1
"1521",0,1,0,0
"1522",0,0,1,0
"1523",0,0,1,0
"1524",0,0,1,0
"1525",0,0,1,0
"1526",0,1,0,0
"1527",0,0,1,0
"1528",1,0,0,0
"1529",0,0,1,0
"1530",0,1,0,0
"1531",0,0,1,0
"1532",0,1,0,0
"1540",0,0,0,1
"1541",1,0,0,0
"1542",0,0,1,0
"1543",0,0,0,1
"1544",0,0,0,1
"1545",0,1,0,0
"1546",0,1,0,0
"1547",0,0,0,1
"1548",0,0,0,1
"1549",0,0,0,1
"1550",0,0,0,1
"1551",1,0,0,0
"1559",0,1,0,0
"1560",0,1,0,0
"1561",0,1,0,0
"1562",0,1,0,0
"1563",0,0,1,0
"1564",1,0,0,0
"1565",0,0,1,0
"1566",0,1,0,0
"1567",0,0,1,0
"1568",0,1,0,0
"1569",1,0,0,0
"1570",0,1,0,0
"1578",0,0,1,0
"1579",0,1,0,0
"1580",0,0,1,0
"1581",1,0,0,0
"1582",0,0,1,0
"1583",1,0,0,0
"1584",0,1,0,0
"1585",0,0,1,0
"1586",0,1,0,0
"1587",0,0,1,0
"1588",0,1,0,0
"1589",0,0,1,0
"1597",0,0,1,0
"1598",0,1,0,0
"1599",0,0,1,0
"1600",0,0,1,0
"1601",0,0,1,0
"1602",0,0,1,0
"1603",0,0,1,0
"1604",0,1,0,0
"1605",1,0,0,0
"1606",0,1,0,0
"1607",0,1,0,0
"1608",0,0,1,0
"1616",0,1,0,0
"1617",1,0,0,0
"1618",0,0,0,1
"1619",1,0,0,0
"1620",0,0,0,1
"1621",1,0,0,0
"1622",0,0,0,1
"1623",1,0,0,0
"1624",1,0,0,0
"1625",1,0,0,0
"1626",0,0,1,0
"1627",0,1,0,0
"1635",0,1,0,0
"1636",1,0,0,0
"1637",0,0,1,0
"1638",0,0,1,0
"1639",0,1,0,0
"1640",0,1,0,0
"1641",1,0,0,0
"1642",0,0,1,0
"1643",0,1,0,0
"1644",1,0,0,0
"1645",1,0,0,0
"1646",1,0,0,0
"1654",0,1,0,0
"1655",0,0,0,1
"1656",0,0,0,1
"1657",0,1,0,0
"1658",0,0,0,1
"1659",0,0,0,1
"1660",0,0,0,1
"1661",0,0,1,0
"1662",0,0,1,0
"1663",0,0,0,1
"1664",0,0,0,1
"1665",0,0,0,1
"1673",1,0,0,0
"1674",0,1,0,0
"1675",0,1,0,0
"1676",1,0,0,0
"1677",1,0,0,0
"1678",1,0,0,0
"1679",1,0,0,0
"1680",0,1,0,0
"1681",0,0,1,0
"1682",0,1,0,0
"1683",0,0,1,0
"1684",1,0,0,0
"1692",0,0,0,1
"1693",0,0,0,1
"1694",0,0,1,0
"1695",0,0,0,1
"1696",0,0,0,1
"1697",0,0,0,1
"1698",0,0,0,1
"1699",1,0,0,0
"1700",0,0,0,1
"1701",0,0,0,1
"1702",0,0,0,1
"1703",0,0,0,1
"1711",0,0,1,0
"1712",0,0,1,0
"1713",0,0,0,1
"1714",0,1,0,0
"1715",0,1,0,0
"1716",0,0,0,1
"1717",0,0,1,0
"1718",0,1,0,0
"1719",0,0,1,0
"1720",1,0,0,0
"1721",0,0,1,0
"1722",0,0,1,0
"1730",1,0,0,0
"1731",0,0,1,0
"1732",0,1,0,0
"1733",0,1,0,0
"1734",0,1,0,0
"1735",1,0,0,0
"1736",1,0,0,0
"1737",0,0,1,0
"1738",0,0,1,0
"1739",0,1,0,0
"1740",0,1,0,0
"1741",0,0,1,0
"1749",1,0,0,0
"1750",1,0,0,0
"1751",0,0,0,1
"1752",0,1,0,0
"1753",0,0,1,0
"1754",0,0,0,1
"1755",0,0,0,1
"1756",0,0,0,1
"1757",0,1,0,0
"1758",0,0,1,0
"1759",0,1,0,0
"1760",0,0,0,1
"1768",1,0,0,0
"1769",0,1,0,0
"1770",0,1,0,0
"1771",0,1,0,0
"1772",0,1,0,0
"1773",0,0,1,0
"1774",0,1,0,0
"1775",0,0,1,0
"1776",0,1,0,0
"1777",0,1,0,0
"1778",1,0,0,0
"1779",0,1,0,0
"1787",1,0,0,0
"1788",0,0,0,1
"1789",0,1,0,0
"1790",1,0,0,0
"1791",0,0,0,1
"1792",0,1,0,0
"1793",1,0,0,0
"1794",1,0,0,0
"1795",0,0,1,0
"1796",0,0,1,0
"1797",0,0,0,1
"1798",0,0,0,1
"1806",0,0,1,0
"1807",1,0,0,0
"1808",1,0,0,0
"1809",0,0,1,0
"1810",0,0,1,0
"1811",0,0,1,0
"1812",0,0,1,0
"1813",0,1,0,0
"1814",0,1,0,0
"1815",0,1,0,0
"1816",1,0,0,0
"1817",0,1,0,0
"1825",0,1,0,0
"1826",0,0,1,0
"1827",0,0,1,0
"1828",0,1,0,0
"1829",0,1,0,0
"1830",0,0,1,0
"1831",1,0,0,0
"1832",1,0,0,0
"1833",0,1,0,0
"1834",0,1,0,0
"1835",1,0,0,0
"1836",1,0,0,0
"1844",0,0,0,1
"1845",0,1,0,0
"1846",0,0,1,0
"1847",0,0,0,1
"1848",0,0,0,1
"1849",0,0,0,1
"1850",0,0,0,1
"1851",0,0,0,1
"1852",0,0,0,1
"1853",0,0,1,0
"1854",0,0,1,0
"1855",0,1,0,0
"1863",0,1,0,0
"1864",0,0,1,0
"1865",0,0,0,1
"1866",0,0,1,0
"1867",0,0,0,1
"1868",0,0,0,1
"1869",0,0,0,1
"1870",0,0,0,1
"1871",0,0,0,1
"1872",0,0,0,1
"1873",0,0,0,1
"1874",0,0,0,1
"1882",0,0,1,0
"1883",0,0,1,0
"1884",0,1,0,0
"1885",1,0,0,0
"1886",0,0,1,0
"1887",0,1,0,0
"1888",1,0,0,0
"1889",0,0,0,1
"1890",0,0,1,0
"1891",0,0,0,1
"1892",0,0,0,1
"1893",0,0,0,1
"1901",0,0,0,1
"1902",0,0,1,0
"1903",0,1,0,0
"1904",1,0,0,0
"1905",0,1,0,0
"1906",0,0,0,1
"1907",0,0,0,1
"1908",0,1,0,0
"1909",0,0,0,1
"1910",0,0,0,1
"1911",0,1,0,0
"1912",0,0,0,1
"1920",1,0,0,0
"1921",0,0,0,1
"1922",0,0,0,1
