"No","Ch1","Ch2","Ch3","Ch4"
21640,0.332,0.328,0.234,0.106
21641,0.224,0.23,0.452,0.094
21642,0.542,0.098,0.212,0.148
21643,0.086,0.178,0.594,0.142
21644,0.276,0.216,0.258,0.25
21645,0.108,0.632,0.104,0.156
21646,0.12,0.144,0.506,0.23
21647,0.162,0.196,0.39,0.252
21648,0.35,0.198,0.328,0.124
21649,0.488,0.172,0.172,0.168
21650,0.1,0.258,0.366,0.276
21651,0.444,0.122,0.166,0.268
21652,0.112,0.104,0.25,0.534
21653,0.566,0.136,0.14,0.158
21654,0.658,0.124,0.132,0.086
21655,0.33,0.07,0.49,0.11
21656,0.316,0.116,0.23,0.338
21657,0.502,0.21,0.126,0.162
21658,0.48,0.082,0.142,0.296
21659,0.544,0.126,0.158,0.172
21660,0.112,0.104,0.248,0.536
21661,0.302,0.152,0.192,0.354
21662,0.076,0.554,0.062,0.308
21663,0.084,0.178,0.634,0.104
21664,0.094,0.418,0.13,0.358
21665,0.258,0.344,0.23,0.168
21666,0.174,0.356,0.152,0.318
21667,0.068,0.306,0.306,0.32
21668,0.256,0.324,0.108,0.312
21669,0.156,0.172,0.18,0.492
21670,0.092,0.314,0.106,0.488
21671,0.04,0.394,0.536,0.03
21672,0.072,0.206,0.254,0.468
21673,0.224,0.41,0.064,0.302
21674,0.212,0.084,0.224,0.48
21675,0.44,0.2,0.064,0.296
21676,0.052,0.642,0.142,0.164
21677,0.688,0.064,0.132,0.116
21678,0.12,0.324,0.496,0.06
21679,0.13,0.4,0.074,0.396
21680,0.4,0.112,0.328,0.16
21681,0.22,0.158,0.166,0.456
21682,0.256,0.342,0.116,0.286
21683,0.4,0.084,0.168,0.348
21684,0.404,0.11,0.124,0.362
21685,0.114,0.362,0.112,0.412
21686,0.11,0.384,0.322,0.184
21687,0.34,0.106,0.29,0.264
21688,0.334,0.146,0.158,0.362
21689,0.142,0.614,0.08,0.164
21690,0.554,0.176,0.118,0.152
21691,0.232,0.472,0.092,0.204
21692,0.06,0.418,0.428,0.094
21693,0.128,0.544,0.07,0.258
21694,0.136,0.264,0.148,0.452
21695,0.284,0.23,0.342,0.144
21696,0.448,0.296,0.092,0.164
21697,0.324,0.348,0.168,0.16
21698,0.14,0.076,0.676,0.108
21699,0.472,0.286,0.048,0.194
21700,0.574,0.164,0.102,0.16
21701,0.63,0.07,0.072,0.228
21702,0.132,0.204,0.116,0.548
21703,0.162,0.246,0.12,0.472
21704,0.146,0.27,0.416,0.168
21705,0.108,0.08,0.626,0.186
21706,0.084,0.426,0.08,0.41
21707,0.096,0.586,0.124,0.194
21708,0.102,0.506,0.212,0.18
21709,0.236,0.126,0.056,0.582
21710,0.278,0.088,0.1,0.534
21711,0.066,0.458,0.306,0.17
21712,0.064,0.304,0.064,0.568
21713,0.512,0.17,0.114,0.204
21714,0.062,0.538,0.08,0.32
21715,0.304,0.096,0.272,0.328
21716,0.128,0.176,0.33,0.366
21717,0.176,0.052,0.426,0.346
21718,0.254,0.418,0.056,0.272
21719,0.158,0.122,0.188,0.532
21720,0.406,0.18,0.096,0.318
21721,0.102,0.208,0.486,0.204
21722,0.4,0.168,0.214,0.218
21723,0.168,0.224,0.144,0.464
21724,0.394,0.188,0.202,0.216
21725,0.116,0.302,0.204,0.378
21726,0.1,0.34,0.288,0.272
21727,0.238,0.128,0.454,0.18
21728,0.122,0.13,0.368,0.38
21729,0.208,0.188,0.1,0.504
21730,0.276,0.122,0.19,0.412
21731,0.25,0.196,0.42,0.134
21732,0.312,0.21,0.102,0.376
21733,0.338,0.378,0.122,0.162
21734,0.124,0.44,0.31,0.126
21735,0.218,0.284,0.096,0.402
21736,0.638,0.17,0.064,0.128
21737,0.282,0.174,0.396,0.148
21738,0.238,0.254,0.382,0.126
21739,0.222,0.392,0.288,0.098
21740,0.14,0.424,0.316,0.12
21741,0.124,0.382,0.242,0.252
21742,0.144,0.298,0.38,0.178
21743,0.46,0.196,0.15,0.194
21744,0.226,0.298,0.348,0.128
21745,0.306,0.148,0.326,0.22
21746,0.258,0.338,0.112,0.292
21747,0.368,0.424,0.098,0.11
21748,0.332,0.246,0.262,0.16
21749,0.134,0.336,0.18,0.35
21750,0.102,0.136,0.586,0.176
21751,0.226,0.112,0.384,0.278
21752,0.39,0.126,0.16,0.324
21753,0.284,0.168,0.208,0.34
21754,0.108,0.356,0.186,0.35
21755,0.142,0.268,0.27,0.32
21756,0.11,0.46,0.21,0.22
21757,0.18,0.518,0.054,0.248
21758,0.206,0.36,0.098,0.336
21759,0.304,0.322,0.182,0.192
21760,0.268,0.046,0.32,0.366
21761,0.08,0.1,0.498,0.322
21762,0.042,0.82,0.062,0.076
21763,0.406,0.12,0.066,0.408
21764,0.388,0.044,0.442,0.126
21765,0.47,0.082,0.144,0.304
21766,0.078,0.554,0.076,0.292
21767,0.104,0.214,0.37,0.312
21768,0.052,0.628,0.226,0.094
21769,0.182,0.342,0.09,0.386
21770,0.09,0.404,0.334,0.172
21771,0.07,0.206,0.342,0.382
21772,0.1,0.462,0.166,0.272
21773,0.446,0.276,0.162,0.116
21774,0.066,0.258,0.378,0.298
21775,0.278,0.294,0.146,0.282
21776,0.354,0.25,0.128,0.268
21777,0.084,0.084,0.46,0.372
21778,0.23,0.126,0.136,0.508
21779,0.41,0.184,0.104,0.302
21780,0.14,0.1,0.506,0.254
21781,0.08,0.124,0.608,0.188
21782,0.462,0.098,0.316,0.124
21783,0.324,0.118,0.112,0.446
21784,0.628,0.154,0.092,0.126
21785,0.11,0.608,0.192,0.09
21786,0.138,0.11,0.238,0.514
21787,0.13,0.644,0.088,0.138
21788,0.426,0.16,0.076,0.338
21789,0.088,0.234,0.148,0.53
21790,0.57,0.11,0.104,0.216
21791,0.222,0.154,0.124,0.5
21792,0.112,0.192,0.414,0.282
21793,0.178,0.148,0.51,0.164
21794,0.06,0.382,0.304,0.254
21795,0.324,0.092,0.446,0.138
21796,0.186,0.274,0.292,0.248
21797,0.356,0.43,0.062,0.152
21798,0.4,0.116,0.234,0.25
21799,0.162,0.098,0.156,0.584
21800,0.086,0.074,0.306,0.534
21801,0.11,0.254,0.27,0.366
21802,0.07,0.138,0.47,0.322
21803,0.072,0.124,0.488,0.316
21804,0.284,0.456,0.14,0.12
21805,0.414,0.106,0.136,0.344
21806,0.104,0.394,0.188,0.314
21807,0.142,0.292,0.202,0.364
21808,0.308,0.112,0.128,0.452
21809,0.582,0.092,0.084,0.242
21810,0.688,0.054,0.142,0.116
21811,0.188,0.558,0.162,0.092
21812,0.15,0.116,0.366,0.368
21813,0.27,0.376,0.158,0.196
21814,0.21,0.378,0.256,0.156
21815,0.4,0.086,0.35,0.164
21816,0.284,0.356,0.212,0.148
21817,0.27,0.14,0.466,0.124
21818,0.184,0.19,0.328,0.298
21819,0.21,0.214,0.212,0.364
21820,0.626,0.118,0.096,0.16
21821,0.128,0.142,0.486,0.244
21822,0.354,0.388,0.164,0.094
21823,0.114,0.346,0.334,0.206
21824,0.106,0.452,0.306,0.136
21825,0.112,0.41,0.172,0.306
21826,0.146,0.52,0.272,0.062
21827,0.092,0.158,0.614,0.136
21828,0.13,0.448,0.16,0.262
21829,0.164,0.29,0.438,0.108
21830,0.248,0.22,0.348,0.184
21831,0.206,0.292,0.186,0.316
21832,0.184,0.378,0.116,0.322
21833,0.416,0.126,0.306,0.152
21834,0.432,0.114,0.26,0.194
21835,0.138,0.39,0.174,0.298
21836,0.104,0.152,0.392,0.352
21837,0.16,0.144,0.286,0.41
21838,0.154,0.286,0.41,0.15
21839,0.116,0.428,0.188,0.268
21840,0.328,0.3,0.166,0.206
21841,0.334,0.166,0.262,0.238
21842,0.094,0.332,0.422,0.152
21843,0.344,0.134,0.242,0.28
21844,0.098,0.41,0.25,0.242
21845,0.232,0.172,0.288,0.308
21846,0.132,0.482,0.152,0.234
21847,0.47,0.146,0.19,0.194
21848,0.216,0.19,0.124,0.47
21849,0.352,0.356,0.126,0.166
21850,0.362,0.282,0.128,0.228
21851,0.164,0.636,0.06,0.14
21852,0.498,0.18,0.112,0.21
21853,0.096,0.34,0.38,0.184
21854,0.442,0.112,0.15,0.296
21855,0.104,0.236,0.166,0.494
21856,0.528,0.116,0.254,0.102
21857,0.088,0.274,0.154,0.484
21858,0.554,0.13,0.12,0.196
21859,0.528,0.068,0.098,0.306
21860,0.398,0.218,0.098,0.286
21861,0.11,0.192,0.528,0.17
21862,0.054,0.638,0.116,0.192
21863,0.08,0.462,0.156,0.302
21864,0.276,0.432,0.066,0.226
21865,0.104,0.328,0.332,0.236
21866,0.17,0.092,0.512,0.226
21867,0.088,0.112,0.19,0.61
21868,0.116,0.098,0.266,0.52
21869,0.254,0.1,0.26,0.386
21870,0.172,0.152,0.232,0.444
21871,0.608,0.124,0.068,0.2
21872,0.052,0.532,0.172,0.244
21873,0.374,0.368,0.186,0.072
21874,0.092,0.686,0.09,0.132
21875,0.342,0.222,0.054,0.382
21876,0.636,0.098,0.132,0.134
21877,0.092,0.312,0.084,0.512
21878,0.29,0.544,0.08,0.086
21879,0.156,0.192,0.114,0.538
21880,0.552,0.126,0.174,0.148
21881,0.1,0.198,0.142,0.56
21882,0.146,0.128,0.164,0.562
21883,0.1,0.228,0.162,0.51
21884,0.176,0.406,0.05,0.368
21885,0.09,0.322,0.096,0.492
21886,0.186,0.174,0.128,0.512
21887,0.146,0.078,0.304,0.472
21888,0.088,0.182,0.514,0.216
21889,0.166,0.222,0.276,0.336
21890,0.278,0.12,0.184,0.418
21891,0.406,0.132,0.298,0.164
21892,0.134,0.342,0.146,0.378
21893,0.114,0.412,0.104,0.37
21894,0.1,0.144,0.37,0.386
21895,0.084,0.136,0.624,0.156
21896,0.438,0.166,0.24,0.156
21897,0.14,0.466,0.248,0.146
21898,0.158,0.27,0.26,0.312
21899,0.158,0.136,0.586,0.12
21900,0.172,0.156,0.154,0.518
21901,0.174,0.574,0.098,0.154
21902,0.094,0.206,0.514,0.186
21903,0.112,0.14,0.52,0.228
21904,0.216,0.13,0.262,0.392
21905,0.128,0.314,0.228,0.33
21906,0.134,0.222,0.114,0.53
21907,0.146,0.246,0.154,0.454
21908,0.39,0.142,0.158,0.31
21909,0.204,0.23,0.254,0.312
21910,0.296,0.248,0.22,0.236
21911,0.176,0.528,0.104,0.192
21912,0.16,0.48,0.092,0.268
21913,0.188,0.284,0.194,0.334
21914,0.14,0.118,0.314,0.428
21915,0.304,0.228,0.232,0.236
21916,0.154,0.128,0.258,0.46
21917,0.202,0.208,0.19,0.4
21918,0.088,0.122,0.614,0.176
21919,0.27,0.102,0.494,0.134
21920,0.252,0.3,0.128,0.32
21921,0.126,0.61,0.08,0.184
21922,0.328,0.358,0.098,0.216
21923,0.156,0.11,0.226,0.508
21924,0.158,0.116,0.318,0.408
21925,0.348,0.312,0.172,0.168
21926,0.308,0.154,0.118,0.42
21927,0.11,0.14,0.488,0.262
21928,0.11,0.578,0.074,0.238
21929,0.116,0.096,0.144,0.644
21930,0.074,0.232,0.164,0.53
21931,0.148,0.196,0.084,0.572
21932,0.078,0.076,0.342,0.504
21933,0.074,0.42,0.096,0.41
21934,0.07,0.334,0.138,0.458
21935,0.168,0.174,0.132,0.526
21936,0.158,0.182,0.09,0.57
21937,0.102,0.122,0.516,0.26
21938,0.06,0.372,0.124,0.444
21939,0.09,0.238,0.116,0.556
21940,0.37,0.176,0.088,0.366
21941,0.116,0.11,0.228,0.546
21942,0.104,0.578,0.106,0.212
21943,0.09,0.282,0.102,0.526
21944,0.11,0.408,0.254,0.228
21945,0.108,0.26,0.11,0.522
21946,0.368,0.19,0.144,0.298
21947,0.492,0.166,0.132,0.21
21948,0.116,0.564,0.176,0.144
21949,0.21,0.25,0.178,0.362
21950,0.11,0.444,0.102,0.344
21951,0.108,0.264,0.252,0.376
21952,0.3,0.152,0.164,0.384
21953,0.354,0.238,0.132,0.276
21954,0.196,0.11,0.212,0.482
21955,0.428,0.144,0.162,0.266
21956,0.132,0.206,0.178,0.484
21957,0.282,0.126,0.244,0.348
21958,0.104,0.618,0.128,0.15
21959,0.152,0.16,0.156,0.532
21960,0.146,0.48,0.09,0.284
21961,0.222,0.14,0.354,0.284
21962,0.514,0.13,0.19,0.166
21963,0.096,0.504,0.234,0.166
21964,0.16,0.104,0.56,0.176
21965,0.1,0.102,0.27,0.528
21966,0.122,0.088,0.272,0.518
21967,0.39,0.12,0.27,0.22
21968,0.224,0.302,0.084,0.39
21969,0.136,0.136,0.136,0.592
21970,0.228,0.202,0.14,0.43
21971,0.12,0.274,0.5,0.106
21972,0.226,0.148,0.104,0.522
21973,0.408,0.112,0.118,0.362
21974,0.56,0.164,0.102,0.174
21975,0.084,0.146,0.246,0.524
21976,0.288,0.246,0.352,0.114
21977,0.1,0.29,0.212,0.398
21978,0.248,0.102,0.176,0.474
21979,0.156,0.168,0.078,0.598
21980,0.088,0.518,0.088,0.306
21981,0.1,0.28,0.178,0.442
21982,0.132,0.162,0.17,0.536
21983,0.114,0.09,0.278,0.518
21984,0.226,0.112,0.154,0.508
21985,0.046,0.64,0.066,0.248
21986,0.092,0.16,0.628,0.12
21987,0.1,0.322,0.096,0.482
21988,0.23,0.296,0.23,0.244
21989,0.134,0.276,0.122,0.468
21990,0.048,0.26,0.246,0.446
21991,0.266,0.23,0.102,0.402
21992,0.164,0.164,0.152,0.52
21993,0.1,0.306,0.07,0.524
21994,0.05,0.326,0.574,0.05
21995,0.078,0.16,0.256,0.506
21996,0.254,0.32,0.048,0.378
21997,0.232,0.078,0.174,0.516
21998,0.374,0.148,0.068,0.41
21999,0.056,0.722,0.118,0.104
22000,0.666,0.064,0.152,0.118
22001,0.118,0.484,0.334,0.064
22002,0.108,0.376,0.054,0.462
22003,0.108,0.234,0.49,0.168
22004,0.382,0.342,0.082,0.194
22005,0.338,0.096,0.234,0.332
22006,0.072,0.3,0.18,0.448
22007,0.212,0.506,0.084,0.198
22008,0.102,0.256,0.376,0.266
22009,0.338,0.262,0.16,0.24
22010,0.108,0.402,0.134,0.356
22011,0.09,0.362,0.24,0.308
22012,0.228,0.374,0.136,0.262
22013,0.242,0.314,0.306,0.138
22014,0.096,0.122,0.638,0.144
22015,0.112,0.188,0.324,0.376
22016,0.106,0.3,0.284,0.31
22017,0.064,0.542,0.272,0.122
22018,0.136,0.24,0.252,0.372
22019,0.18,0.122,0.398,0.3
22020,0.134,0.166,0.478,0.222
22021,0.272,0.174,0.178,0.376
22022,0.314,0.25,0.114,0.322
22023,0.206,0.204,0.326,0.264
22024,0.222,0.182,0.194,0.402
22025,0.29,0.166,0.162,0.382
22026,0.568,0.098,0.122,0.212
22027,0.306,0.128,0.186,0.38
22028,0.336,0.148,0.184,0.332
22029,0.134,0.214,0.174,0.478
22030,0.32,0.104,0.39,0.186
22031,0.21,0.152,0.142,0.496
22032,0.116,0.306,0.18,0.398
22033,0.302,0.118,0.414,0.166
22034,0.552,0.096,0.13,0.222
22035,0.304,0.156,0.116,0.424
22036,0.45,0.154,0.174,0.222
22037,0.174,0.228,0.1,0.498
22038,0.158,0.27,0.16,0.412
22039,0.456,0.244,0.062,0.238
22040,0.158,0.436,0.212,0.194
22041,0.148,0.106,0.57,0.176
22042,0.238,0.114,0.434,0.214
22043,0.278,0.358,0.202,0.162
22044,0.25,0.106,0.32,0.324
22045,0.088,0.424,0.244,0.244
22046,0.292,0.148,0.308,0.252
22047,0.114,0.268,0.388,0.23
22048,0.078,0.658,0.164,0.1
22049,0.082,0.538,0.174,0.206
22050,0.124,0.348,0.24,0.288
22051,0.304,0.256,0.348,0.092
22052,0.328,0.416,0.136,0.12
22053,0.082,0.724,0.088,0.106
22054,0.084,0.178,0.652,0.086
22055,0.12,0.48,0.306,0.094
22056,0.128,0.23,0.518,0.124
22057,0.318,0.13,0.322,0.23
22058,0.146,0.494,0.216,0.144
22059,0.376,0.398,0.068,0.158
22060,0.158,0.18,0.1,0.562
22061,0.104,0.146,0.516,0.234
22062,0.052,0.17,0.632,0.146
22063,0.048,0.706,0.132,0.114
22064,0.588,0.102,0.16,0.15
22065,0.11,0.1,0.502,0.288
22066,0.408,0.078,0.12,0.394
22067,0.412,0.168,0.058,0.362
22068,0.106,0.762,0.046,0.086
22069,0.066,0.456,0.08,0.398
22070,0.232,0.106,0.06,0.602
22071,0.208,0.162,0.084,0.546
22072,0.06,0.606,0.21,0.124
22073,0.124,0.122,0.446,0.308
22074,0.056,0.748,0.1,0.096
22075,0.122,0.244,0.264,0.37
22076,0.726,0.076,0.04,0.158
22077,0.224,0.134,0.11,0.532
22078,0.214,0.134,0.098,0.554
22079,0.41,0.124,0.088,0.378
22080,0.078,0.116,0.502,0.304
22081,0.086,0.574,0.126,0.214
22082,0.526,0.146,0.122,0.206
22083,0.074,0.536,0.136,0.254
22084,0.146,0.176,0.106,0.572
22085,0.246,0.114,0.16,0.48
22086,0.136,0.338,0.1,0.426
22087,0.076,0.102,0.372,0.45
22088,0.114,0.226,0.128,0.532
22089,0.098,0.478,0.156,0.268
22090,0.124,0.192,0.198,0.486
22091,0.064,0.108,0.572,0.256
22092,0.516,0.192,0.1,0.192
22093,0.094,0.144,0.402,0.36
22094,0.134,0.092,0.29,0.484
22095,0.096,0.154,0.152,0.598
22096,0.094,0.084,0.568,0.254
22097,0.402,0.094,0.098,0.406
22098,0.206,0.086,0.578,0.13
22099,0.128,0.386,0.132,0.354
22100,0.074,0.116,0.664,0.146
22101,0.374,0.186,0.14,0.3
22102,0.1,0.386,0.122,0.392
22103,0.204,0.158,0.158,0.48
22104,0.258,0.232,0.08,0.43
22105,0.074,0.332,0.138,0.456
22106,0.544,0.132,0.126,0.198
22107,0.124,0.098,0.538,0.24
22108,0.348,0.146,0.198,0.308
22109,0.378,0.394,0.094,0.134
22110,0.138,0.096,0.16,0.606
22111,0.314,0.156,0.134,0.396
22112,0.104,0.152,0.542,0.202
22113,0.092,0.502,0.14,0.266
22114,0.176,0.114,0.16,0.55
22115,0.15,0.116,0.15,0.584
22116,0.118,0.192,0.478,0.212
22117,0.212,0.128,0.484,0.176
22118,0.604,0.136,0.112,0.148
22119,0.14,0.48,0.102,0.278
22120,0.142,0.124,0.434,0.3
22121,0.118,0.188,0.146,0.548
22122,0.16,0.176,0.548,0.116
22123,0.076,0.522,0.142,0.26
22124,0.072,0.3,0.244,0.384
22125,0.248,0.152,0.178,0.422
22126,0.196,0.122,0.21,0.472
22127,0.534,0.114,0.162,0.19
22128,0.402,0.194,0.208,0.196
22129,0.144,0.084,0.214,0.558
22130,0.136,0.268,0.492,0.104
22131,0.54,0.128,0.154,0.178
22132,0.142,0.248,0.38,0.23
22133,0.092,0.128,0.602,0.178
22134,0.278,0.154,0.146,0.422
22135,0.6,0.09,0.092,0.218
22136,0.204,0.318,0.06,0.418
22137,0.122,0.326,0.274,0.278
22138,0.138,0.478,0.06,0.324
22139,0.124,0.244,0.328,0.304
22140,0.09,0.066,0.61,0.234
22141,0.036,0.216,0.346,0.402
22142,0.27,0.064,0.374,0.292
22143,0.07,0.35,0.39,0.19
22144,0.042,0.276,0.546,0.136
22145,0.082,0.06,0.454,0.404
22146,0.092,0.05,0.672,0.186
22147,0.208,0.062,0.23,0.5
22148,0.466,0.102,0.042,0.39
22149,0.062,0.526,0.046,0.366
22150,0.078,0.05,0.724,0.148
22151,0.112,0.062,0.656,0.17
22152,0.264,0.048,0.05,0.638
22153,0.036,0.416,0.466,0.082
22154,0.04,0.526,0.064,0.37
22155,0.084,0.26,0.268,0.388
22156,0.104,0.434,0.22,0.242
22157,0.136,0.398,0.266,0.2
22158,0.13,0.362,0.118,0.39
22159,0.124,0.344,0.374,0.158
22160,0.07,0.206,0.138,0.586
22161,0.072,0.18,0.264,0.484
22162,0.136,0.18,0.41,0.274
22163,0.316,0.13,0.122,0.432
22164,0.064,0.09,0.634,0.212
22165,0.074,0.544,0.122,0.26
22166,0.396,0.466,0.052,0.086
22167,0.572,0.16,0.14,0.128
22168,0.142,0.116,0.554,0.188
22169,0.51,0.09,0.16,0.24
22170,0.066,0.326,0.47,0.138
22171,0.098,0.364,0.234,0.304
22172,0.224,0.094,0.168,0.514
22173,0.272,0.394,0.076,0.258
22174,0.456,0.13,0.126,0.288
22175,0.116,0.404,0.12,0.36
22176,0.24,0.108,0.2,0.452
22177,0.144,0.094,0.182,0.58
22178,0.248,0.32,0.136,0.296
22179,0.142,0.302,0.1,0.456
22180,0.172,0.144,0.51,0.174
22181,0.138,0.52,0.114,0.228
22182,0.336,0.124,0.19,0.35
22183,0.15,0.418,0.11,0.322
22184,0.236,0.088,0.116,0.56
22185,0.2,0.312,0.086,0.402
22186,0.156,0.408,0.098,0.338
22187,0.148,0.258,0.118,0.476
22188,0.234,0.196,0.23,0.34
22189,0.182,0.054,0.382,0.382
22190,0.096,0.432,0.138,0.334
22191,0.192,0.116,0.496,0.196
22192,0.11,0.126,0.19,0.574
22193,0.1,0.124,0.136,0.64
22194,0.23,0.196,0.08,0.494
22195,0.156,0.53,0.192,0.122
22196,0.168,0.096,0.1,0.636
22197,0.092,0.4,0.092,0.416
22198,0.152,0.124,0.17,0.554
22199,0.596,0.116,0.098,0.19
22200,0.392,0.092,0.118,0.398
22201,0.128,0.532,0.118,0.222
22202,0.482,0.206,0.122,0.19
22203,0.584,0.18,0.09,0.146
22204,0.15,0.19,0.07,0.59
22205,0.232,0.122,0.174,0.472
22206,0.102,0.154,0.368,0.376
22207,0.08,0.094,0.276,0.55
22208,0.27,0.168,0.088,0.474
22209,0.164,0.12,0.114,0.602
22210,0.11,0.188,0.134,0.568
22211,0.116,0.184,0.072,0.628
22212,0.088,0.266,0.318,0.328
22213,0.126,0.234,0.176,0.464
22214,0.118,0.202,0.388,0.292
22215,0.138,0.144,0.542,0.176
22216,0.392,0.172,0.176,0.26
22217,0.11,0.11,0.52,0.26
22218,0.126,0.264,0.098,0.512
22219,0.276,0.154,0.13,0.44
22220,0.588,0.1,0.134,0.178
22221,0.146,0.152,0.19,0.512
22222,0.64,0.086,0.156,0.118
22223,0.236,0.324,0.126,0.314
22224,0.236,0.148,0.186,0.43
22225,0.614,0.156,0.114,0.116
22226,0.094,0.088,0.666,0.152
22227,0.218,0.198,0.278,0.306
22228,0.068,0.542,0.142,0.248
22229,0.208,0.414,0.104,0.274
22230,0.24,0.126,0.492,0.142
22231,0.722,0.078,0.092,0.108
22232,0.436,0.1,0.098,0.366
22233,0.11,0.142,0.282,0.466
22234,0.39,0.444,0.064,0.102
22235,0.376,0.084,0.08,0.46
22236,0.742,0.072,0.036,0.15
22237,0.222,0.076,0.268,0.434
22238,0.066,0.168,0.568,0.198
22239,0.074,0.598,0.202,0.126
22240,0.104,0.212,0.28,0.404
22241,0.244,0.18,0.178,0.398
22242,0.38,0.214,0.072,0.334
22243,0.056,0.566,0.072,0.306
22244,0.254,0.528,0.058,0.16
22245,0.542,0.128,0.078,0.252
22246,0.078,0.57,0.088,0.264
22247,0.084,0.084,0.498,0.334
22248,0.462,0.068,0.372,0.098
22249,0.06,0.138,0.354,0.448
22250,0.366,0.092,0.178,0.364
22251,0.068,0.066,0.266,0.6
22252,0.09,0.056,0.518,0.336
22253,0.168,0.368,0.106,0.358
22254,0.094,0.112,0.258,0.536
22255,0.138,0.088,0.298,0.476
22256,0.196,0.088,0.186,0.53
22257,0.484,0.112,0.134,0.27
22258,0.094,0.278,0.268,0.36
22259,0.164,0.108,0.118,0.61
22260,0.098,0.078,0.272,0.552
22261,0.176,0.152,0.372,0.3
22262,0.312,0.19,0.074,0.424
22263,0.092,0.18,0.106,0.622
22264,0.382,0.17,0.098,0.35
22265,0.192,0.254,0.338,0.216
22266,0.152,0.098,0.242,0.508
22267,0.088,0.104,0.392,0.416
22268,0.234,0.214,0.108,0.444
22269,0.244,0.572,0.066,0.118
22270,0.126,0.172,0.336,0.366
22271,0.242,0.184,0.31,0.264
22272,0.186,0.378,0.074,0.362
22273,0.216,0.236,0.296,0.252
22274,0.186,0.408,0.092,0.314
22275,0.108,0.514,0.126,0.252
22276,0.09,0.258,0.316,0.336
22277,0.312,0.24,0.296,0.152
22278,0.1,0.296,0.296,0.308
22279,0.44,0.178,0.13,0.252
22280,0.234,0.134,0.244,0.388
22281,0.636,0.094,0.096,0.174
22282,0.08,0.35,0.492,0.078
22283,0.18,0.19,0.196,0.434
22284,0.268,0.204,0.39,0.138
22285,0.104,0.35,0.118,0.428
22286,0.242,0.1,0.318,0.34
22287,0.296,0.258,0.108,0.338
22288,0.254,0.298,0.168,0.28
22289,0.142,0.444,0.12,0.294
22290,0.212,0.1,0.366,0.322
22291,0.402,0.164,0.112,0.322
22292,0.276,0.144,0.174,0.406
22293,0.182,0.332,0.116,0.37
22294,0.238,0.278,0.152,0.332
22295,0.258,0.14,0.322,0.28
22296,0.174,0.192,0.254,0.38
22297,0.144,0.182,0.25,0.424
22298,0.104,0.29,0.358,0.248
22299,0.102,0.386,0.146,0.366
